date,symbol,trade_id,entry_date,entry_price,total_shares,total_trade_pnl,targets_hit,exit_type,t1_pnl,t2_pnl,t3_pnl,trail_pnl,time_exit_pnl,final_exit_reason,RSI_14,VOL_20,NORM_ATR,volume_ratio,volume_percentile,ema_50_200_diff,ema_flag,NORM_BB,BB_Squeeze
2022-03-28,NSE:3MINDIA-EQ,1,2022-03-14,19704.9,6,1219.5314999999985,T1,T1_ONLY,1298.3510999999985,0.0,0.0,-78.81960000000001,0.0,STOPLOSS,23.778452849563596,0.0188149668916922,0.0339788580505356,0.9255011469033608,0.7261904761904762,-0.0718699122109244,-1,0.1491530289630265,0.0
2021-01-05,NSE:AARTIDRUGS-EQ,1,2020-12-29,704.4,298,2307.540257142855,T1,T1_ONLY,2454.759857142855,0.0,0.0,-147.2196,0.0,STOPLOSS,23.357209592027445,0.0234737862250884,0.0401963170276628,0.6074967197856961,0.492063492063492,0.2535209870005061,1,0.1984284206721006,0.0
2023-05-18,NSE:AAVAS-EQ,1,2023-04-28,1387.2,427,10966.923342857099,T1,T1_WITH_TIME_EXIT,8573.90674285714,0.0,0.0,0.0,2393.0165999999595,TIMEEXIT,29.011824324324323,0.0264649091138499,0.0493362786290987,1.4717067555941674,0.9484126984126984,-0.1680848460647648,-1,0.0049727625195324,0.0
2019-05-15,NSE:ACE-EQ,1,2019-05-08,90.5,678,747.656175,T1,T1_ONLY,790.6436749999999,0.0,0.0,-42.987500000000004,0.0,STOPLOSS,9.399999999999991,0.026466222854394,0.0440805051302289,1.060029441304938,0.6547619047619048,-0.0650164095336215,-1,-0.0464287532851286,0.0
2023-03-14,NSE:ADANIENSOL-EQ,1,2023-03-09,861.4,703,34323.41471428571,"T1,T2",T2_PARTIAL,8478.66122857143,12021.722857142859,0.0,13823.030628571429,0.0,STOPLOSS,40.15436919966921,0.0469192673681017,0.047696441009652,0.9020630575979348,0.8531746031746031,-0.9415652746363558,-1,0.4874901785663397,1.0
2023-03-21,NSE:ADANIENSOL-EQ,2,2023-03-14,902.2,371,25940.41451071429,"T1,T2",T2_PARTIAL,4521.94693928571,6425.540271428575,0.0,14992.927300000008,0.0,STOPLOSS,56.5959409594096,0.0501453099386151,0.0462005573677043,2.0783388634721227,0.9761904761904762,-0.929345596408208,-1,0.6492466047103638,1.0
2025-01-27,NSE:ADANIENSOL-EQ,3,2025-01-13,688.75,2368,144477.6601249999,"T1,T2",T2_PARTIAL,19510.43232142856,27656.913999999986,0.0,97310.31380357136,0.0,STOPLOSS,33.2208771581663,0.025688289322656,0.0409385532797511,0.8712539843764404,0.3888888888888889,-0.1833971934536382,-1,-0.212687237622573,0.0
2022-11-16,NSE:ADANIENT-EQ,1,2022-10-24,3309.8,158,55620.152299999914,"T1,T2",T2_PARTIAL,4386.1360142857075,6268.478228571419,0.0,44965.53805714279,0.0,STOPLOSS,65.63781788351109,0.0237603513627172,0.0292248992170437,0.0761682628597129,0.0039682539682539,0.210470729296501,1,0.4684718922089243,1.0
2024-09-17,NSE:ADANIENT-EQ,2,2024-09-09,2964.15,318,4010.0855142857167,T1,T1_ONLY,4671.090964285717,0.0,0.0,-661.0054500000001,0.0,STOPLOSS,28.54552780016114,0.0100441890042318,0.0176056253177856,0.8047141754129236,0.4523809523809524,0.0269282391557971,1,0.0290488692655289,0.0
2020-06-04,NSE:ADANIGREEN-EQ,1,2020-05-27,242.6,265,5228.263149999994,"T1,T2",T2_PARTIAL,711.8600000000005,1010.189599999999,0.0,3506.213549999995,0.0,STOPLOSS,88.19875776397521,0.0132244576200604,0.0377164056059356,0.5951774117647058,0.0952380952380952,0.2230928591182529,1,0.8785666701223974,1.0
