entry_date,symbol,entry_price,shares,investment_amount,probability,darvas_breakout_up,feature_NORM_ATR,feature_volume_ratio,feature_VOL_20,feature_darvas_high_normalized,feature_ema_9_21_diff,feature_ema_50_200_diff,feature_Normalized_JMA
2019-01-02,NSE:RAJESHEXPO-EQ,572.45,87,49803.15,,0,0.0146238598505172,1.2547004767138612,0.0025714212666802,1.3709494278976329,-4.226200661373755e-06,-0.0843236091228839,2.062583797976376
2019-01-02,NSE:TIINDIA-EQ,353.0,127,44831.0,,0,0.0380716309186564,8.706197144924904,0.0220929835880553,0.9263456090651558,0.0305077560965053,0.0951943272518977,1.698585849819008
2019-01-04,NSE:ALKYLAMINE-EQ,314.74,149,46896.26,,0,0.0320854401365299,0.7456781853030388,0.02321031799621,1.0294211094871957,0.0206205835218132,0.0823359669064011,2.8622758011742997
2019-01-08,NSE:RAJESHEXPO-EQ,571.25,87,49698.75,,0,0.0174804626445764,0.6700567759571312,0.0034444707285414,1.0589934354485777,0.0011637526834981,-0.0824908391455343,2.6986416235313166
2019-01-18,NSE:GICRE-EQ,254.8,203,51724.4,,0,0.0173245122224713,0.522584667083751,0.0116513416636479,1.407182103610675,-0.0174476173233477,-0.1797093841900729,-1.2875625789628165
2019-01-22,NSE:LAURUSLABS-EQ,75.34,659,49649.060000000005,,0,0.0197390875649437,0.4583787829046071,0.0057659663085334,1.0734005840191134,-0.0030757267369394,-0.118023511883766,-1.524831363871671
2019-01-23,NSE:WIPRO-EQ,131.83,381,50227.23,,0,0.0297081739469663,1.769408720215414,0.021312637765976,0.9783812485777136,0.0156008639462549,0.0566318416057769,2.8181607580112327
2019-01-25,NSE:PRICOLLTD-EQ,45.5,1097,49913.5,,0,0.0265306122448979,0.9199966887025628,0.0116040044136234,1.287912087912088,-0.0269948254441423,-0.2791471627503402,-2.310096449499259
2019-01-29,NSE:SUDARSCHEM-EQ,312.4,198,61855.2,,0,0.0281461496250228,0.8682319729409343,0.0083186695528211,1.6328425096030732,-0.0285743771901087,-0.1474126776398912,-2.819720852767244
2019-01-31,NSE:HAVELLS-EQ,713.45,87,62070.15,,0,0.0265410530320474,1.2112552865026307,0.0174746044113298,1.0061672156423014,0.0090852209981295,0.0769236704803061,2.2761628065540163
2019-02-11,NSE:OLECTRA-EQ,198.9,372,73990.8,,0,0.0656826833297421,0.3894795080913854,0.0280464596997253,1.3021618903971846,-0.0480245881909396,0.0930663834562423,-2.529598090203679
2019-02-12,NSE:VEDL-EQ,152.85,203,31028.55,,0,0.0562643114164212,0.9003125520747665,0.0427091422495793,1.3954857703631012,-0.0798039592392263,-0.2100451503768642,-2.670075387262423
2019-02-25,NSE:GNFC-EQ,264.75,326,86308.5,,0,0.0495346013759611,0.943001675045176,0.0319335005496822,1.4466477809254012,-0.0821352468238551,-0.1815801385948681,-1.865545953024829
2019-03-05,NSE:IGARASHI-EQ,406.3,163,66226.90000000001,,0,0.0557469849864632,4.23162668850559,0.0294059476737462,1.752153581097711,-0.0601354673481356,-0.2796157657713598,-1.491111398189393
2019-03-18,NSE:DIVISLAB-EQ,1689.35,36,60816.6,,0,0.0249398542972994,0.6373997586060339,0.0168863257682735,0.9340870749104686,0.0167571038113357,0.1171359532731756,1.693130506926849
2019-03-27,NSE:BATAINDIA-EQ,1371.55,45,61719.75,,0,0.0218261924725415,0.9761159885522008,0.0154547676583981,0.8134592249644563,0.0164475078753898,0.1443233107871558,1.2688341729496964
2019-04-11,NSE:STLTECH-EQ,201.2,313,62975.6,,0,0.0361935529679068,0.8557424496875087,0.0293718337493133,1.3906560636182903,-0.0485700202568875,-0.2113544537532382,-1.7659206514829533
2019-04-22,NSE:RPOWER-EQ,7.9,6591,52068.9,,0,0.0682640144665461,1.32057289225623,0.0376414794288856,3.9177215189873413,-0.105333810675218,-1.3501858688844983,-2.100196098806584
2019-04-24,NSE:IMAGICAA-EQ,9.0,6933,62397.0,,0,0.0682539682539682,0.0937535162105624,0.0434551707341277,1.3722222222222222,-0.0154035490937049,-1.0548921242524931,-1.0240659917494317
2019-04-30,NSE:EDELWEISS-EQ,148.75,324,48195.0,,0,0.0489555822328931,2.1837380064006955,0.0233641110484244,1.3364705882352943,-0.0500866579666652,-0.142580264723131,-1.504139713639254
2019-05-02,NSE:STLTECH-EQ,189.75,290,55027.5,,0,0.0615659702616224,0.51509650257462,0.0261264018016813,1.4745718050065877,-0.0457757585694404,-0.2560298674808262,-1.4973018440602808
2019-05-08,NSE:ACE-EQ,90.5,678,61359.0,,0,0.0440805051302289,1.060029441304938,0.026466222854394,1.372375690607735,-0.0350405198235246,-0.0650164095336215,-1.3439747706622216
2019-05-08,NSE:SOLARA-EQ,414.49,98,40620.020000000004,,0,0.0352757088745894,1.400277238274327,0.0307525659017367,1.0493618663900215,0.0060935096618351,0.1378771545280072,-0.6748712644654967
2019-05-13,NSE:IFCI-EQ,9.1,6416,58385.6,,0,0.0533751962323391,0.7398970989509314,0.029753691955232,1.6043956043956045,-0.1160220647732628,-0.2508699991003789,-2.2259302620252046
2019-05-15,NSE:BATAINDIA-EQ,1328.05,33,43825.65,,0,0.0273494435988317,1.298011601957462,0.0178067196433552,0.8401039117503106,-0.0168363235878667,0.1520335991865324,-1.1018310517791483
2019-05-21,NSE:GRAPHITE-EQ,356.25,208,74100.0,,0,0.0607218045112781,1.0342822552012407,0.0388882661034661,1.343719298245614,-0.0687887432587837,-0.5334505413099039,-1.8619380877219984
