date,portfolio_value,cummax,drawdown
2019-01-01,100000.0,100000.0,0.0
2019-01-02,99905.54559999998,100000.0,-0.0009445440000002137
2019-01-03,99851.9956,100000.0,-0.0014800440000000137
2019-01-04,99991.3456,100000.0,-8.65439999999662e-05
2019-01-07,100671.51734285714,100671.51734285714,0.0
2019-01-08,101099.39345,101099.39345,0.0
2019-01-09,101181.99345000001,101181.99345000001,0.0
2019-01-10,101203.00627142857,101203.00627142857,0.0
2019-01-11,101797.00627142857,101797.00627142857,0.0
2019-01-14,101843.20627142857,101843.20627142857,0.0
2019-01-15,101577.74461428574,101843.20627142857,-0.0026065720715364726
2019-01-16,102202.81855000003,102202.81855000003,0.0
2019-01-17,102336.11855000001,102336.11855000001,0.0
2019-01-18,102077.40778571428,102336.11855000001,-0.0025280494115997865
2019-01-21,101997.40778571428,102336.11855000001,-0.003309787092621086
2019-01-22,101101.18324642858,102336.11855000001,-0.012067443255316168
2019-01-23,101200.33324642858,102336.11855000001,-0.011098577116900432
2019-01-24,100894.22011785716,102336.11855000001,-0.014089829207645455
2019-01-25,99259.63516785715,102336.11855000001,-0.0300625373107124
2019-01-28,96788.8300375,102336.11855000001,-0.0542065557214747
2019-01-29,96733.93003749999,102336.11855000001,-0.054743023205075625
2019-01-30,97355.67692535714,102336.11855000001,-0.04866748607637972
2019-01-31,97769.19805749999,102336.11855000001,-0.04462667294019651
2019-02-01,99464.0757717857,102336.11855000001,-0.028064800765441045
2019-02-04,97967.9490717857,102336.11855000001,-0.04268453347759216
2019-02-05,97997.64907178571,102336.11855000001,-0.04239431336351285
2019-02-06,98661.55043071427,102336.11855000001,-0.03590685450406639
2019-02-07,101355.07782357142,102336.11855000001,-0.009586456280821998
2019-02-08,101517.42782357142,102336.11855000001,-0.00800001737439937
2019-02-11,101490.67782357142,102336.11855000001,-0.008261410911490907
2019-02-12,101249.87782357141,102336.11855000001,-0.010614441331365132
2019-02-13,102230.79216642855,102336.11855000001,-0.001029220035543954
2019-02-14,101713.79216642855,102336.11855000001,-0.006081199799144232
2019-02-15,101009.60386642856,102336.11855000001,-0.01296233140719849
2019-02-18,100460.9678092857,102336.11855000001,-0.018323449895142674
2019-02-19,100484.76780928571,102336.11855000001,-0.0180908829350388
2019-02-20,101199.52199499999,102336.11855000001,-0.011106504439531761
2019-02-21,102131.447795,102336.11855000001,-0.001999985517332381
2019-02-22,101574.947795,102336.11855000001,-0.007437948260937022
2019-02-25,102785.50616642857,102785.50616642857,0.0
2019-02-26,101595.50616642855,102785.50616642857,-0.011577507806141418
2019-02-27,101310.95616642856,102785.50616642857,-0.01434589423155097
2019-02-28,101933.95616642856,102785.50616642857,-0.008284728380100637
2019-03-01,102460.80616642856,102785.50616642857,-0.0031590057013900497
2019-03-05,104150.75616642857,104150.75616642857,0.0
2019-03-06,104214.2665092857,104214.2665092857,0.0
2019-03-07,103518.61520928572,104214.2665092857,-0.006675202189692531
2019-03-08,101611.16520928571,104214.2665092857,-0.02497835840708096
2019-03-11,103059.42695928572,104214.2665092857,-0.011081395942052596
2019-03-12,104520.32695928571,104520.32695928571,0.0
2019-03-13,102233.02695928572,104520.32695928571,-0.02188378152405679
2019-03-14,99243.97508071427,104520.32695928571,-0.0504815860423663
2019-03-15,98674.82508071426,104520.32695928571,-0.0559269383155343
2019-03-18,97234.62508071428,104520.32695928571,-0.06970607622964542
2019-03-19,98758.15354857141,104520.32695928571,-0.05512969178673599
2019-03-20,98999.75354857142,104520.32695928571,-0.05281817969115943
2019-03-22,101832.36783428569,104520.32695928571,-0.02571709449442383
2019-03-25,99483.71374857142,104520.32695928571,-0.04818788227361959
2019-03-26,100670.1637485714,104520.32695928571,-0.03683650178605047
2019-03-27,98483.58926357141,104520.32695928571,-0.05775659023785695
2019-03-28,99858.59321357141,104520.32695928571,-0.044601216637316976
2019-03-29,99815.52321357143,104520.32695928571,-0.04501328959243456
2019-04-01,100948.98321357142,104520.32695928571,-0.034168891828145975
2019-04-02,102509.7024242857,104520.32695928571,-0.019236684322497588
2019-04-03,103452.18949571426,104520.32695928571,-0.010219423289668073
2019-04-04,103942.91818142857,104520.32695928571,-0.005524368270317992
2019-04-05,104696.53818142856,104696.53818142856,0.0
2019-04-08,105206.85818142857,105206.85818142857,0.0
2019-04-09,105795.90818142856,105795.90818142856,0.0
2019-04-10,106439.04818142857,106439.04818142857,0.0
2019-04-11,104791.33181714284,106439.04818142857,-0.015480374847745226
2019-04-12,105383.10181714286,106439.04818142857,-0.009920667107862768
2019-04-15,104719.63181714286,106439.04818142857,-0.016153999811750697
2019-04-16,102490.49020714285,106439.04818142857,-0.03709689293308305
2019-04-18,102829.64020714285,106439.04818142857,-0.033910562297902014
2019-04-22,103761.19020714285,106439.04818142857,-0.02515860504240164
2019-04-23,103956.76208214284,106439.04818142857,-0.023321197828212403
2019-04-24,102944.33208214285,106439.04818142857,-0.03283302659122689
2019-04-25,101078.68208214286,106439.04818142857,-0.05036089847542424
2019-04-26,101430.13208214284,106439.04818142857,-0.047059008745999775
