date,action,symbol,shares,entry_price,exit_price,pnl,reason,holding_days,allocation_multiplier,adjusted_capital
2019-01-02,BUY,NSE:CAPLIPOINT-EQ,130,382.75,,,ENTRY,,1.0,50000.0
2019-01-02,BUY,NSE:RAJESHEXPO-EQ,78,572.45,,,ENTRY,,1.0,45173.46825
2019-01-07,SELL,NSE:RAJESHEXPO-EQ,23,572.45,580.8214285714287,179.1839642857155,T1_EXIT,5.0,1.0,
2019-01-07,SELL,NSE:RAJESHEXPO-EQ,16,572.45,589.1928571428572,258.4586285714284,T2_EXIT,5.0,1.0,
2019-01-08,SELL,NSE:RAJESHEXPO-EQ,39,572.45,580.8214285714287,303.8336785714306,STOPLOSS,6.0,1.0,
2019-01-08,BUY,NSE:RAJESHEXPO-EQ,80,571.25,,,ENTRY,,1.0,45800.61090428571
2019-01-11,SELL,NSE:CAPLIPOINT-EQ,39,382.75,390.0392857142857,269.0706107142856,T1_EXIT,9.0,1.0,
2019-01-11,SELL,NSE:CAPLIPOINT-EQ,27,382.75,397.3285714285714,382.893557142857,T2_EXIT,9.0,1.0,
2019-01-11,T3_TRAIL,NSE:CAPLIPOINT-EQ,0,382.75,,,T3_MILESTONE_TRAIL,9.0,1.0,
2019-01-11,TRAIL_SL,NSE:CAPLIPOINT-EQ,0,382.75,,,TRAIL_T4,9.0,1.0,
2019-01-14,SELL,NSE:CAPLIPOINT-EQ,64,382.75,404.61785714285713,1373.6473142857137,STOPLOSS,12.0,1.0,
2019-01-14,BUY,NSE:GODREJAGRO-EQ,103,494.6,,,ENTRY,,1.0,51234.28123821428
2019-01-15,SELL,NSE:RAJESHEXPO-EQ,24,571.25,581.2357142857143,225.70748571428524,T1_EXIT,7.0,1.0,
2019-01-16,SELL,NSE:RAJESHEXPO-EQ,17,571.25,591.2214285714285,329.46352142857074,T2_EXIT,8.0,1.0,
2019-01-16,SELL,NSE:GODREJAGRO-EQ,31,494.6,500.4714285714286,166.49967142857128,T1_EXIT,2.0,1.0,
2019-01-16,SELL,NSE:GODREJAGRO-EQ,22,494.6,506.34285714285716,247.20331428571407,T2_EXIT,2.0,1.0,
2019-01-16,T3_TRAIL,NSE:GODREJAGRO-EQ,0,494.6,,,T3_MILESTONE_TRAIL,2.0,1.0,
2019-01-16,TRAIL_SL,NSE:GODREJAGRO-EQ,0,494.6,,,TRAIL_T4,2.0,1.0,
2019-01-17,T3_TRAIL,NSE:RAJESHEXPO-EQ,0,571.25,,,T3_MILESTONE_TRAIL,9.0,1.0,
2019-01-17,TRAIL_SL,NSE:RAJESHEXPO-EQ,0,571.25,,,TRAIL_T4,9.0,1.0,
2019-01-17,SELL,NSE:GODREJAGRO-EQ,50,494.6,512.2142857142858,855.1035714285736,STOPLOSS,3.0,1.0,
2019-01-17,BUY,NSE:COALINDIA-EQ,318,232.05,,,ENTRY,,1.0,73909.13662607144
2019-01-18,SELL,NSE:RAJESHEXPO-EQ,39,571.25,601.2071428571428,1144.8814928571405,STOPLOSS,10.0,1.0,
2019-01-18,BUY,NSE:CIPLA-EQ,55,509.4,,,ENTRY,,1.0,28511.28225964286
2019-01-22,SELL,NSE:COALINDIA-EQ,318,232.05,227.0732142857143,-1654.8271392857132,STOPLOSS,5.0,1.0,
