date,train_auc,train_logloss,val_auc,val_logloss,train_rows,val_rows
2019-01-02,0.9993828176431863,0.09806903678786785,0.9993828176431863,0.09806903678786785,545,545
2019-01-29,0.8771794612119971,0.2553094065206231,0.8771794612119971,0.2553094065206231,10928,10928
2019-02-26,0.768736082762182,0.4513449537819457,0.768736082762182,0.4513449537819457,21887,21887
2019-03-28,0.7319962753006483,0.5160820926731382,0.7087842017013327,0.5885726042981079,32837,22457
2019-04-30,0.7232948595642841,0.4781184342976029,0.7074380663621236,0.44757891766448366,43838,20307
2019-05-29,0.703582106481638,0.49746626152974566,0.712331616616836,0.4484967864222831,54862,20926
2019-06-27,0.6876341634186722,0.4761715267191325,0.6751798586409075,0.44886369437314927,65906,22068
2019-07-25,0.67820399839565,0.45256700927056526,0.5939639042451027,0.30942732596774936,76994,23236
2019-08-26,0.6653196676011099,0.4504826976800213,0.6260650558433798,0.3476923181099412,88139,22233
2019-09-25,0.6592308797559041,0.4807138478747974,0.5925675442040499,0.5638966329468157,96573,21194
2019-10-27,0.6552766499097118,0.5133838576212032,0.6704053515041948,0.6345480241825883,94611,21215
2019-11-26,0.6569937362209022,0.47399921807728873,0.6794971100407512,0.5644848016190674,95391,21246
2019-12-24,0.6512360362931067,0.4862328569472871,0.6721829300248343,0.5321253835644271,96268,23043
2020-01-22,0.6442432334165359,0.5273322468971721,0.6642875971203852,0.6209898411736758,98259,23202
2020-02-18,0.6439532464833153,0.5086536281313239,0.6803349637246827,0.5673650856432404,99173,23871
2020-03-19,0.6651225688427749,0.49091523562135636,0.6932011933503176,0.3104910528943462,98997,23954
2020-04-22,0.6701610113262604,0.5149412884135138,0.7035143085457738,0.36969323023005196,97162,21205
2020-05-21,0.6707821221077037,0.5164900815327107,0.6799010744408829,0.5373699215462532,98580,21800
2020-06-19,0.6824440346061009,0.5370358254172001,0.6827539742512746,0.62254966756935,99476,24098
2020-07-17,0.6771315263636083,0.5307713029827846,0.6714168509014433,0.6709345533872331,100917,24718
2020-08-14,0.6803649552949848,0.5599416880949905,0.6186581181829831,0.6601612443464528,101873,25385
2020-09-11,0.6823017665837761,0.5526271278316933,0.6360403194263998,0.633056759031877,102733,25498
2020-10-12,0.6844605985975254,0.5298092988433494,0.6114535642053346,0.4926485886245424,101912,23844
2020-11-09,0.6801723441793253,0.5583974503894518,0.6314774028338228,0.5649498911567716,102217,23946
2020-12-08,0.6679803506572253,0.6050659363892165,0.6518837593240939,0.6727228846310306,103064,23998
2021-01-06,0.6538302306035262,0.6125416047302816,0.6676906064011188,0.6554922063690116,105028,23445
2021-02-04,0.6544071117411192,0.6111488207778963,0.5999898571022823,0.5779778280216198,105378,24126
2021-03-04,0.6435391133913161,0.6055347992383133,0.6255909822875071,0.5803866923069653,106299,24830
2021-04-06,0.6470024842676898,0.594512982076665,0.620349737674726,0.5435956280052281,104966,23144
2021-05-06,0.6422845276338213,0.5901642710082506,0.6090084257884083,0.5976366503095943,104170,22659
2021-06-04,0.6432845395112784,0.6117403865879959,0.6482604709014473,0.6743698974105441,103951,24523
2021-07-02,0.647172790858143,0.6189239275103995,0.655198899244523,0.6455870992842989,104871,25776
2021-08-02,0.6388600261606094,0.6062463676302401,0.616359842158214,0.5896846115021668,103587,24782
2021-08-31,0.6310159743414288,0.59603448914705,0.6065175169527487,0.5640056875105781,105271,24400
2021-09-29,0.6276579170608048,0.602302781599763,0.6163595040227581,0.5939778889955116,105802,24506
2021-10-28,0.6308901254242778,0.596455069603306,0.6283463138858345,0.5917829529398908,106308,25216
2021-11-29,0.6320613462265435,0.5860765852399994,0.6134304014702044,0.4895735834883111,105677,24117
2021-12-27,0.6323743762132616,0.5896514624671828,0.585618127832072,0.49980727793558877,107431,24882
2022-01-24,0.6313992753705776,0.5702180026260065,0.6284703652020226,0.538014098206699,109194,26245
2022-02-22,0.6418835878905269,0.5233379476594474,0.6733513548205168,0.4419306043958266,110457,25786
2022-03-24,0.6323725503725719,0.5270113308007212,0.6201877422220536,0.4743424856001909,110009,25416
2022-04-25,0.6399528748406889,0.5274661960456234,0.6586995158509747,0.5828420266328534,109402,24306
2022-05-24,0.6504490721050532,0.49472748080554185,0.6834716960552774,0.42400456772216294,110682,25066
2022-06-21,0.64957640965954,0.45836079190422124,0.6194002114677786,0.3340274927064826,112033,26569
2022-07-19,0.6423393447225678,0.4998433261520427,0.6085183232914579,0.5802049932304201,113408,27411
2022-08-17,0.6381210016613179,0.533527096894727,0.5967672916863346,0.7352522261112284,114081,26211
2022-09-15,0.6377934346758921,0.5341842408113682,0.6112430462322835,0.6359327882373428,114175,26323
2022-10-14,0.6399732566337228,0.5257895086836469,0.5986816147073184,0.5217304491724615,114927,27137
2022-11-15,0.6356354135450331,0.5537441810262055,0.6428030673514912,0.5211063179928713,114346,25967
2022-12-13,0.6398977878280893,0.5429849147344925,0.6502506684327347,0.559084940783495,116217,26730
2023-01-10,0.6394306069052789,0.5296738993081965,0.6365643522063005,0.48059290572398566,118116,28136
2023-02-08,0.6315893505704863,0.5370958930625036,0.5611176159204432,0.4172581145456172,118664,27544
2023-03-09,0.6357844854231248,0.537505047463989,0.570408247039485,0.41889737069714544,118506,27644
2023-04-11,0.6313412647852155,0.5176416723178205,0.6035150167848152,0.5230378906146935,117006,25729
2023-05-11,0.6279373975822315,0.5270727697244174,0.6002374629673057,0.7081987715609384,117432,25770
2023-06-08,0.6336952446521309,0.5497405336271713,0.5660201414002539,0.7217862593541419,118475,27844
