date,symbol,trade_id,entry_date,entry_price,shares,total_trade_pnl,RSI_14,VOL_20,NORM_ATR,volume_ratio,volume_percentile,ema_50_200_diff,ema_flag,NORM_BB,BB_Squeeze
2019-07-30,NSE:ACE-EQ,1,2019-07-24,76.65,330,432.7570928571419,9.907834101382504,0.0184005009654933,0.0434255894138477,0.6943482610557101,0.0753968253968253,-0.1134399923769284,-1,0.1002114954360706,0.0
2020-10-19,NSE:ADANIPOWER-EQ,1,2020-10-09,36.6,1186,-1211.2956857142879,38.88888888888896,0.0074275584741297,0.0179547228727556,0.443182094926176,0.0079365079365079,-0.103139570642021,-1,0.2727727025659636,1.0
2020-10-22,NSE:ADANIPOWER-EQ,2,2020-10-20,35.45,1312,-1212.086514285712,16.666666666666757,0.0070453664187131,0.0167237557928672,0.7718148365312933,0.0436507936507936,-0.1047823597864749,-1,-0.0280611997561453,0.0
2019-12-02,NSE:AGI-EQ,1,2019-11-27,46.5,414,254.80378928571494,10.8333333333334,0.0242237186939067,0.034331797235023,0.3907341766747559,0.5119047619047619,-2.051908711341815,-1,0.21727969313231,1.0
2020-02-05,NSE:AGI-EQ,2,2020-02-01,52.0,934,-3107.6915285714317,27.843137254901976,0.0354584162330833,0.042032967032967,0.2919825664326075,0.5793650793650794,-1.20353977230861,-1,0.2012302461736212,1.0
2020-05-19,NSE:AHLUCONT-EQ,1,2020-05-14,174.85,291,-3587.667808928571,44.74505723204994,0.0346022969690635,0.0463866988030557,0.1006067791881712,0.0634920634920634,-0.3339684996449501,-1,0.3130253202528985,1.0
2021-04-19,NSE:ALOKINDS-EQ,1,2021-04-12,20.75,2411,717.2546357142838,59.77011494252875,0.0215675873868209,0.0368330464716006,1.4043249773080893,0.7777777777777778,-0.0662350992509148,-1,0.4744595678663368,1.0
2021-11-22,NSE:ALOKINDS-EQ,3,2021-11-15,22.5,4506,-3863.3478428571416,46.03174603174603,0.0294504497322888,0.0247619047619047,0.4263058420142181,0.0357142857142857,0.0041255244316976,1,0.3613012501292428,1.0
2021-12-07,NSE:ALOKINDS-EQ,4,2021-11-29,21.3,1459,475.99000714285836,37.06896551724137,0.0239221797352387,0.0390677397719651,1.3639005181873431,0.4404761904761904,-0.0101629752566866,-1,0.0116526756504832,1.0
2022-06-20,NSE:ALOKINDS-EQ,5,2022-06-16,21.0,5525,-5734.062053571425,43.4782608695652,0.0210568601359335,0.032312925170068,1.0820257150982242,0.0634920634920634,-0.05351580299648,-1,0.048805716058155,1.0
2022-10-17,NSE:ALOKINDS-EQ,6,2022-10-13,17.0,1778,-1552.702000000001,11.475409836065596,0.0133627685624601,0.0336134453781512,1.6675347532369655,0.365079365079365,-0.146900226000153,-1,0.0387595662222938,0.0
2023-01-19,NSE:ALOKINDS-EQ,7,2023-01-13,15.2,6399,-3624.610708928569,39.99999999999999,0.0220677508059651,0.0242011278195488,0.647986945074618,0.0277777777777777,-0.1936008091953514,-1,0.3164882984394431,0.0
2023-01-23,NSE:ALOKINDS-EQ,8,2023-01-19,14.4,6460,-4068.8656071428586,18.918918918918905,0.0185168350955115,0.0285218253968253,3.674447444048688,0.6428571428571429,-0.2048375199491345,-1,-0.141137810699505,1.0
2023-01-24,NSE:ALOKINDS-EQ,9,2023-01-23,13.45,8335,-5464.961821428567,3.9215686274509673,0.0144911982351068,0.0318640467339352,3.152444442322829,0.6468253968253969,-0.2234761790592659,-1,-0.2396224848656125,0.0
2023-01-27,NSE:ALOKINDS-EQ,10,2023-01-24,13.95,7676,-5735.082278571424,20.68965517241378,0.0173216105997924,0.0350742447516641,3.129744780258034,0.6547619047619048,-0.2168733637843991,-1,0.050497787762828,0.0
2023-02-02,NSE:ALOKINDS-EQ,11,2023-01-27,13.1,5207,1089.104214285713,17.14285714285714,0.0189157527577101,0.0406215921483097,1.3473361096577885,0.5079365079365079,-0.2364208873965589,-1,-0.0369553551802852,0.0
2023-02-17,NSE:ALOKINDS-EQ,12,2023-02-02,12.95,5479,-5319.6687232142895,22.89156626506025,0.0207786182857068,0.049365692222835,0.7805951821710622,0.2539682539682539,-0.2490905398622334,-1,0.1335940295357636,0.0
2024-05-09,NSE:ALOKINDS-EQ,14,2024-04-24,27.7,9743,-17476.88901071428,53.65853658536584,0.0258470187341103,0.0425477050025786,1.5924715744572653,0.3373015873015873,0.1436130505411886,1,0.5060809875677038,0.0
2024-05-30,NSE:ALOKINDS-EQ,15,2024-05-27,26.1,4948,1427.3606250000007,49.315068493150726,0.0121886563472752,0.0291461412151067,1.190717676034145,0.2738095238095238,0.1005317913718948,1,0.2886257344527633,1.0
2019-01-25,NSE:AMBER-EQ,1,2019-01-24,845.95,56,-1726.8920000000016,19.417475728155352,0.0095934946675448,0.0236589464085178,0.2572923352557916,0.1188524590163934,-0.0826361491349109,-1,-0.1608641829379077,0.0
2022-09-16,NSE:AMBER-EQ,2,2022-09-15,2350.45,28,-2017.0094499999977,68.61836562763256,0.0095715441413993,0.0197849651890367,1.099225184978361,0.5992063492063492,-0.1735296262675471,-1,1.0415962682681676,1.0
2020-02-25,NSE:APARINDS-EQ,1,2020-02-20,390.95,148,-2278.016792857142,57.28715728715729,0.0095667706760583,0.0256061242760309,1.101370800732991,0.8849206349206349,-0.2141429391478171,-1,0.4060113897414302,1.0
2021-07-28,NSE:ARE&M-EQ,1,2021-07-20,713.35,52,136.37988571428642,14.140271493212694,0.0057088938160111,0.01206580620613,1.4685926780603806,0.6825396825396826,-0.0560204334754172,-1,-0.1874565525571795,0.0
