iter	Passed	Remaining
407	5683	5460
408	5699	5448
409	5716	5437
410	5729	5422
411	5743	5408
412	5756	5394
413	5773	5382
414	5787	5369
415	5802	5355
416	5814	5340
417	5827	5325
418	5841	5311
419	5854	5297
420	5868	5283
421	5882	5269
422	5894	5253
423	5909	5240
424	5922	5225
425	5936	5211
426	5949	5196
427	5962	5182
428	5976	5168
429	5989	5154
430	6003	5139
431	6016	5125
432	6031	5111
433	6044	5097
434	6058	5083
435	6071	5069
436	6085	5055
437	6099	5041
438	6115	5028
439	6128	5014
440	6142	5000
441	6155	4985
442	6169	4971
443	6182	4957
444	6196	4943
445	6212	4931
446	6226	4917
447	6240	4903
448	6254	4888
449	6267	4874
450	6282	4861
451	6296	4847
452	6311	4834
453	6326	4821
454	6340	4807
455	6354	4793
456	6367	4779
457	6382	4765
458	6395	4751
459	6409	4737
460	6423	4723
461	6436	4708
462	6450	4694
463	6463	4680
464	6477	4666
465	6490	4651
466	6503	4637
467	6517	4623
468	6531	4609
469	6544	4595
470	6558	4581
471	6571	4566
472	6584	4552
473	6598	4537
474	6611	4523
475	6626	4510
476	6640	4496
477	6653	4482
478	6667	4467
479	6681	4454
480	6694	4439
481	6712	4428
482	6726	4414
483	6740	4400
484	6754	4386
485	6768	4372
486	6782	4358
487	6795	4344
488	6809	4330
489	6821	4315
490	6836	4302
491	6850	4288
492	6863	4274
493	6877	4260
494	6890	4245
495	6903	4230
496	6917	4217
497	6930	4202
498	6944	4188
499	6957	4174
500	6970	4160
501	6984	4146
502	6997	4131
503	7011	4117
504	7025	4104
505	7038	4089
506	7051	4075
507	7064	4060
508	7077	4046
509	7092	4033
510	7107	4019
511	7120	4005
512	7134	3991
513	7147	3977
514	7161	3962
515	7175	3949
516	7190	3935
517	7204	3922
518	7217	3907
519	7232	3894
520	7245	3880
521	7258	3865
522	7272	3851
523	7285	3837
524	7298	3823
525	7312	3809
526	7326	3795
527	7340	3781
528	7353	3767
529	7368	3753
530	7382	3739
531	7394	3725
532	7408	3711
533	7421	3696
534	7433	3681
535	7446	3667
536	7460	3653
537	7473	3639
538	7489	3626
539	7502	3612
540	7516	3598
541	7529	3584
542	7542	3569
543	7555	3555
544	7568	3541
545	7582	3527
546	7595	3512
547	7608	3498
548	7621	3484
549	7634	3470
550	7647	3455
551	7660	3441
552	7676	3428
553	7691	3415
554	7705	3401
555	7719	3387
556	7733	3373
557	7748	3360
558	7762	3346
559	7775	3332
560	7789	3318
561	7803	3304
562	7817	3290
563	7830	3276
564	7844	3262
565	7857	3248
566	7870	3234
567	7886	3221
568	7904	3208
569	7919	3195
570	7936	3183
571	7950	3169
572	7964	3155
573	7975	3140
574	7989	3126
575	8003	3112
576	8018	3099
577	8032	3085
578	8046	3071
579	8059	3057
580	8074	3043
581	8088	3029
582	8105	3016
583	8121	3003
584	8135	2989
585	8148	2975
586	8162	2961
587	8177	2948
588	8192	2934
589	8206	2921
590	8226	2909
591	8242	2895
592	8255	2881
593	8268	2867
594	8283	2853
595	8297	2839
596	8309	2825
597	8323	2811
598	8337	2797
599	8350	2783
600	8363	2769
601	8377	2755
602	8390	2741
603	8403	2727
604	8419	2713
605	8433	2699
606	8447	2686
607	8461	2672
608	8474	2657
609	8488	2643
610	8502	2630
611	8514	2615
612	8528	2601
613	8542	2587
614	8555	2573
615	8568	2559
616	8581	2545
617	8596	2531
618	8610	2517
619	8623	2503
620	8636	2489
621	8649	2475
622	8663	2461
623	8679	2447
624	8693	2434
625	8707	2420
626	8721	2406
627	8734	2392
628	8749	2378
629	8762	2364
630	8776	2350
631	8790	2336
632	8805	2323
633	8820	2309
634	8833	2295
635	8847	2281
636	8860	2267
637	8873	2253
638	8889	2239
639	8904	2226
640	8917	2212
641	8930	2197
642	8945	2184
643	8957	2169
644	8971	2155
645	8984	2141
646	8998	2127
647	9012	2114
648	9026	2100
649	9039	2085
650	9052	2071
651	9066	2058
652	9081	2044
653	9095	2030
654	9111	2017
655	9125	2003
656	9139	1989
657	9154	1975
658	9169	1961
659	9183	1947
660	9196	1933
661	9209	1919
662	9224	1906
663	9237	1892
664	9250	1877
665	9263	1863
666	9276	1849
667	9291	1835
668	9304	1821
669	9317	1807
670	9331	1793
671	9344	1779
672	9357	1765
673	9371	1751
674	9384	1737
675	9398	1723
676	9411	1709
677	9424	1695
678	9438	1682
679	9452	1668
680	9466	1654
681	9482	1640
682	9496	1626
683	9510	1612
684	9524	1598
685	9537	1584
686	9549	1570
687	9562	1556
688	9576	1542
689	9589	1528
690	9603	1514
691	9617	1500
692	9630	1486
693	9644	1473
694	9661	1459
695	9674	1445
696	9688	1431
697	9701	1417
698	9714	1403
699	9729	1389
700	9743	1375
701	9757	1362
702	9770	1348
703	9784	1334
704	9797	1320
705	9811	1306
706	9825	1292
707	9838	1278
708	9852	1264
709	9865	1250
710	9879	1236
711	9893	1222
712	9907	1208
713	9920	1194
714	9933	1180
715	9947	1166
716	9960	1153
717	9975	1139
718	9989	1125
719	10004	1111
720	10018	1097
721	10032	1083
722	10047	1070
723	10061	1056
724	10074	1042
725	10088	1028
726	10103	1014
727	10116	1000
728	10130	986
729	10143	972
730	10159	958
731	10174	945
732	10187	931
733	10199	917
734	10214	903
735	10227	889
736	10241	875
737	10255	861
738	10268	847
739	10282	833
740	10297	819
741	10310	805
742	10324	792
743	10337	778
744	10351	764
745	10364	750
746	10378	736
747	10390	722
748	10404	708
749	10418	694
750	10432	680
751	10445	666
752	10458	652
753	10472	638
754	10486	624
755	10500	611
756	10514	597
757	10528	583
758	10542	569
759	10555	555
760	10568	541
761	10582	527
762	10596	513
763	10609	499
764	10622	486
765	10636	472
766	10650	458
767	10664	444
768	10677	430
769	10692	416
770	10708	402
771	10721	388
772	10735	374
773	10748	361
774	10761	347
775	10775	333
776	10788	319
777	10802	305
778	10815	291
779	10829	277
780	10843	263
781	10856	249
782	10869	235
783	10883	222
784	10896	208
785	10910	194
786	10923	180
787	10937	166
788	10951	152
789	10964	138
790	10978	124
791	10992	111
792	11005	97
793	11019	83
794	11033	69
795	11048	55
796	11062	41
797	11076	27
798	11090	13
799	11104	0
