date,symbol,trade_id,entry_date,entry_price,total_shares,total_trade_pnl,targets_hit,exit_type,t1_pnl,t2_pnl,t3_pnl,trail_pnl,time_exit_pnl,final_exit_reason,RSI_14,VOL_20,NORM_ATR,volume_ratio,volume_percentile,ema_50_200_diff,ema_flag,NORM_BB,BB_Squeeze
2024-09-09,NSE:AADHARHFC-EQ,1,2024-08-28,386.7,2535,85262.70403928566,"T1,T2",T2_PARTIAL,11509.578428571433,16319.134199999977,0.0,57433.99141071424,0.0,STOPLOSS,37.677725118483416,0.0238439188076896,0.0402028150282611,1.3598375121154145,0.3835616438356164,0.1009308639946016,1,0.1861939119630402,0.0
2024-09-17,NSE:AADHARHFC-EQ,2,2024-09-09,428.4,4936,132546.0436071428,"T1,T2",T2_PARTIAL,23132.955535714245,32808.0924,0.0,76604.99567142858,0.0,STOPLOSS,65.59094719195306,0.029273677519815,0.0374983326663998,0.8025147460588764,0.3580246913580246,0.0872634228802311,1,0.8473490938120042,0.0
2024-10-09,NSE:AADHARHFC-EQ,3,2024-10-03,443.4,503,3048.23811428571,T1,T1_ONLY,3204.3149142857096,0.0,0.0,-156.0768,0.0,STOPLOSS,45.48022598870056,0.0318323151217273,0.0489077904504156,0.5013973302776965,0.1938775510204081,0.1169254387046019,1,0.294982313205414,0.0
2024-10-29,NSE:AADHARHFC-EQ,4,2024-10-09,439.4,902,9515.7392,,TIME_EXIT_ONLY,0.0,0.0,0.0,0.0,9515.7392,TIMEEXIT,45.04504504504504,0.0317639994864525,0.0581881136614864,0.8788884404256456,0.5196078431372549,0.1131539245594393,1,0.2434061171342195,0.0
2024-11-11,NSE:AADHARHFC-EQ,5,2024-11-04,451.4,1041,5378.6952857142915,T1,T1_ONLY,5707.7658857142915,0.0,0.0,-329.07059999999996,0.0,STOPLOSS,46.79891794409377,0.0230743489226469,0.0415690866510538,0.8036853199949273,0.2166666666666666,0.0912789709374201,1,0.7589544903173303,1.0
2021-03-18,NSE:ABBOTINDIA-EQ,3,2021-03-15,14535.8,9,604.7272285714263,T1,T1_ONLY,691.9420285714262,0.0,0.0,-87.2148,0.0,STOPLOSS,45.61570390868207,0.0090037760147522,0.0168844213203656,0.809781840815968,0.3412698412698413,-0.0223155232148707,-1,0.362426413825671,0.0
2021-01-18,NSE:ABFRL-EQ,1,2021-01-11,168.75,1824,11842.18428214288,"T1,T2",T2_PARTIAL,2919.0401035714367,4152.3546857142865,0.0,4770.789492857156,0.0,STOPLOSS,86.52631578947371,0.0210620452477164,0.0326560846560846,1.182173410923554,0.7579365079365079,0.0202359222048456,1,0.7759015173371351,0.0
2021-01-21,NSE:ABFRL-EQ,2,2021-01-18,170.15,235,327.6467500000007,T1,T1_ONLY,355.7215000000007,0.0,0.0,-28.07475,0.0,STOPLOSS,58.30564784053156,0.0246132636868693,0.0308971075941396,0.6761523318084574,0.492063492063492,0.0326819298804899,1,0.609065698791472,0.0
2019-12-10,NSE:ABREL-EQ,1,2019-12-04,475.75,95,1915.2342142857115,"T1,T2",T2_PARTIAL,464.00119999999924,672.3738571428561,0.0,778.8591571428559,0.0,STOPLOSS,89.81900452488688,0.0206037130781309,0.0358681780647098,0.374415146393148,0.4761904761904761,-0.4649884301188224,-1,0.8130067927793913,0.0
2023-07-05,NSE:ABSLAMC-EQ,1,2023-06-30,372.35,1231,2661.83525714286,T1,T1_ONLY,2982.80095714286,0.0,0.0,-320.9657,0.0,STOPLOSS,49.07894736842107,0.0097603404389716,0.0227320685223196,11.575679595774051,1.0,-0.0934770202873395,-1,0.5988784046235299,1.0
2023-03-21,NSE:ADANIENSOL-EQ,2,2023-03-14,902.2,791,55292.7794607143,"T1,T2",T2_PARTIAL,9654.967789285707,13674.867757142865,0.0,31962.94391428573,0.0,STOPLOSS,56.5959409594096,0.0501453099386151,0.0462005573677043,2.0783388634721227,0.9761904761904762,-0.929345596408208,-1,0.6492466047103638,1.0
2023-11-30,NSE:ADANIENSOL-EQ,3,2023-11-28,865.1,1220,50380.14095,"T1,T2",T2_PARTIAL,8760.237450000017,12476.223999999995,0.0,29143.679499999987,0.0,STOPLOSS,72.79362972793632,0.0437733602391333,0.0286961044965899,12.530853383452392,0.988095238095238,-0.3472467663542464,-1,1.4120715871277978,0.0
2022-11-16,NSE:ADANIENT-EQ,1,2022-10-24,3309.8,121,42310.78874285708,"T1,T2",T2_PARTIAL,3359.593542857138,4938.801028571421,0.0,34012.394171428525,0.0,STOPLOSS,65.63781788351109,0.0237603513627172,0.0292248992170437,0.0761682628597129,0.0039682539682539,0.210470729296501,1,0.4684718922089243,1.0
2023-04-17,NSE:ADANIPORTS-EQ,1,2023-03-28,593.4,634,33911.27687142861,"T1,T2",T2_WITH_TIME_EXIT,4943.656821428575,7000.041750000005,0.0,0.0,21967.578300000023,TIMEEXIT,15.398075240594906,0.0352795789262269,0.0448926284366122,1.28330826975944,0.9206349206349206,-0.1324096002290773,-1,0.0386630015757857,1.0
2020-10-27,NSE:ADANIPOWER-EQ,1,2020-10-22,35.0,3038,481.9775321428579,T1,T1_ONLY,556.4225321428579,0.0,0.0,-74.44500000000001,0.0,STOPLOSS,11.32075471698127,0.0071334187650433,0.018469387755102,1.4591285249676424,0.0952380952380952,-0.1068299534818566,-1,-0.0081208938763582,0.0
