date,portfolio_value,cummax,drawdown
2019-01-01,100000.0,100000.0,0.0
2019-01-02,99905.36585,100000.0,-0.0009463414999999475
2019-01-03,101693.99872142856,101693.99872142856,0.0
2019-01-04,102055.209,102055.209,0.0
2019-01-07,102084.68074285715,102084.68074285715,0.0
2019-01-08,100980.36602142859,102084.68074285715,-0.010817634079791416
2019-01-09,100997.8860214286,102084.68074285715,-0.01064601185525671
2019-01-10,100089.7460214286,102084.68074285715,-0.019541959742751525
2019-01-11,100994.3160214286,102084.68074285715,-0.01068098282224228
2019-01-14,101896.13602142858,102084.68074285715,-0.0018469443216803105
2019-01-15,104917.17069714288,104917.17069714288,0.0
2019-01-16,105170.72463285716,105170.72463285716,0.0
2019-01-17,105306.24463285715,105306.24463285715,0.0
2019-01-18,105218.87746857145,105306.24463285715,-0.0008296484656755698
2019-01-21,104681.87746857145,105306.24463285715,-0.005929061153614579
2019-01-22,104651.71746857144,105306.24463285715,-0.0062154639220843855
2019-01-23,103265.61191142858,105306.24463285715,-0.01937807894055188
2019-01-24,103505.6134357143,105306.24463285715,-0.017098997342661182
2019-01-25,102486.57727571431,105306.24463285715,-0.026775879882274922
2019-01-28,100663.69737571431,105306.24463285715,-0.04408615342165845
2019-01-29,100746.19737571431,105306.24463285715,-0.04330272409809244
2019-01-30,104165.18717500003,105306.24463285715,-0.010835610574048471
2019-01-31,102992.92137500003,105306.24463285715,-0.02196757909203162
2019-02-01,104710.17137500003,105306.24463285715,-0.005660379020591688
2019-02-04,101925.19972500004,105306.24463285715,-0.03210678454677485
2019-02-05,100961.19972500004,105306.24463285715,-0.041261037491231445
2019-02-06,112555.12065357147,112555.12065357147,0.0
2019-02-07,115937.31336785718,115937.31336785718,0.0
2019-02-08,118362.96079642861,118362.96079642861,0.0
2019-02-11,118322.46079642861,118362.96079642861,-0.00034216785156004903
2019-02-12,123330.46079642861,123330.46079642861,0.0
2019-02-13,118689.99582500002,123330.46079642861,-0.03762626800761104
2019-02-14,118664.49582500002,123330.46079642861,-0.03783302958001844
2019-02-15,116748.94582500003,123330.46079642861,-0.0533648778162934
2019-02-18,116157.20577500002,123330.46079642861,-0.05816288186313423
2019-02-19,116685.05577500003,123330.46079642861,-0.05388291731430084
2019-02-20,120204.05577500003,123330.46079642861,-0.02534982032207822
2019-02-21,122372.95577500004,123330.46079642861,-0.007763735051708354
2019-02-22,122027.95577500004,123330.46079642861,-0.010561097501926242
2019-02-25,125056.11046071432,125056.11046071432,0.0
2019-02-26,124050.71046071433,125056.11046071432,-0.008039591158689019
2019-02-27,123810.36046071432,125056.11046071432,-0.009961528432401945
2019-02-28,123292.8104607143,125056.11046071432,-0.014100070708291779
2019-03-01,125020.01046071431,125056.11046071432,-0.00028867042055769065
2019-03-05,128194.64766071431,128194.64766071431,0.0
2019-03-06,128991.4976607143,128991.4976607143,0.0
2019-03-07,126332.04766071429,128991.4976607143,-0.02061725034773343
2019-03-08,125476.6976607143,128991.4976607143,-0.027248307553145557
2019-03-11,128077.2846107143,128991.4976607143,-0.007087389995305449
2019-03-12,128494.60897785716,128991.4976607143,-0.0038521041453764004
2019-03-13,126505.89629785717,128991.4976607143,-0.019269497664063162
2019-03-14,124174.04629785716,128991.4976607143,-0.03734704573729708
2019-03-15,121103.29629785716,128991.4976607143,-0.06115287833625627
2019-03-18,120275.96857285718,128991.4976607143,-0.06756669428539808
2019-03-19,119536.11857285719,128991.4976607143,-0.07330234363762145
2019-03-20,117097.56857285718,128991.4976607143,-0.09220707801332506
2019-03-22,118915.0185728572,128991.4976607143,-0.07811738967758342
2019-03-25,116736.46857285718,128991.4976607143,-0.09500648732749395
2019-03-26,115995.6185728572,128991.4976607143,-0.10074988912866256
2019-03-27,116843.91857285719,128991.4976607143,-0.09417348668831516
2019-03-28,116836.9685728572,128991.4976607143,-0.09422736620848537
2019-03-29,117305.06857285718,128991.4976607143,-0.09059844485716317
2019-04-01,117078.8185728572,128991.4976607143,-0.0923524364310504
2019-04-02,116819.04757285719,128991.4976607143,-0.09436629784603512
2019-04-03,117428.79757285718,128991.4976607143,-0.08963924210160301
2019-04-04,116350.47187285719,128991.4976607143,-0.09799890703732073
2019-04-05,115194.85720857147,128991.4976607143,-0.1069577507227032
2019-04-08,115342.50720857148,128991.4976607143,-0.10581310163592095
2019-04-09,116433.20720857148,128991.4976607143,-0.09735750557121858
2019-04-10,116237.20720857146,128991.4976607143,-0.09887698556450897
2019-04-11,115572.80720857147,128991.4976607143,-0.10402771264380506
2019-04-12,116119.10720857148,128991.4976607143,-0.09979254978495566
2019-04-15,116448.15720857147,128991.4976607143,-0.09724160645948554
2019-04-16,117161.75720857148,128991.4976607143,-0.09170945889207782
2019-04-18,116079.55720857147,128991.4976607143,-0.10009915914074463
2019-04-22,116077.09605142861,128991.4976607143,-0.10011823913584117
2019-04-23,116294.2460514286,128991.4976607143,-0.09843479484735662
2019-04-24,115466.54605142862,128991.4976607143,-0.10485149683942963
2019-04-25,114800.47910142863,128991.4976607143,-0.11001514686349512
2019-04-26,114022.57910142864,128991.4976607143,-0.11604577689808937
2019-04-30,111779.32910142864,128991.4976607143,-0.13343645799476445
2019-05-02,108866.55985678578,128991.4976607143,-0.1560175528534683
2019-05-03,114999.85766392863,128991.4976607143,-0.10846947473691493
2019-05-06,111344.84777214294,128991.4976607143,-0.13680475231776335
2019-05-07,111207.59656142864,128991.4976607143,-0.13786878532151448
2019-05-08,109466.25656142864,128991.4976607143,-0.15136843476802486
2019-05-09,111281.11656142864,128991.4976607143,-0.13729882527505177
2019-05-10,118523.7167778572,128991.4976607143,-0.08115093686554797
2019-05-13,114726.82730214293,128991.4976607143,-0.11058612867719131
2019-05-14,115388.17730214294,128991.4976607143,-0.10545904656717853
2019-05-15,113989.77730214293,128991.4976607143,-0.11630007117236763
2019-05-16,116675.02730214293,128991.4976607143,-0.09548280764184414
2019-05-17,114926.02730214293,128991.4976607143,-0.10904184084727586
2019-05-20,127503.85745928578,128991.4976607143,-0.011532854710637253
2019-05-21,126335.95745928578,128991.4976607143,-0.020586939833921236
