date,train_auc,train_logloss,val_auc,val_logloss,train_rows,val_rows
2019-01-02,1.0,0.018043888272044322,1.0,0.018043888272044322,544,544
2019-01-29,0.9819671633256999,0.15324311553800216,0.9819671633256999,0.15324311553800216,10908,10908
2019-02-26,0.9019696574626819,0.3500651401065722,0.9019696574626819,0.3500651401065722,21847,21847
2019-03-28,0.8517961613958753,0.43234346118660427,0.8319317326524589,0.4975181157226792,32792,22431
2019-04-30,0.8358514991365735,0.41108609137128166,0.8214649350675896,0.3932375355748146,43774,20286
2019-05-29,0.8173571375155732,0.45244454652362337,0.8123532828377791,0.4036405305618172,47152,20888
2019-06-27,0.8235319657077584,0.430362361108375,0.795186882824337,0.40280287950465404,47237,22028
2019-07-25,0.8499010523497255,0.3223831266958495,0.8351942163994881,0.23479411365412156,47912,23194
2019-08-26,0.8430485673244554,0.3185952179928592,0.8054370357533374,0.27945271039763453,47517,22193
2019-09-25,0.8312694640081308,0.3692249048988883,0.8138423806511705,0.4823477410874834,48211,21156
2019-10-27,0.8202429763051158,0.4270570889277697,0.8135714318780504,0.5442408372392125,47794,21177
2019-11-26,0.8131880151273886,0.4598603824756952,0.8298367669741604,0.4696984977351134,46806,21213
2019-12-24,0.8045728454212246,0.49651669336230675,0.8112081230269401,0.4619092349148854,48080,23005
2020-01-22,0.803418957576152,0.50477577576825,0.7938346725361091,0.5327998267252014,48825,23159
2020-02-18,0.8028662741109486,0.4818535595658024,0.8160971793345178,0.4835993592204838,50724,23829
2020-03-19,0.8403021943284548,0.38503173985058453,0.8009070532574858,0.25101199993179213,50968,23912
2020-04-22,0.8375848999513544,0.3901761551475842,0.8331543731385083,0.30257420579455574,48976,21178
2020-05-21,0.8259088833080734,0.3597157481973541,0.7913434870872957,0.4694280988491432,49702,21809
2020-06-19,0.8506981212371548,0.40158550323569375,0.810732134795353,0.5192898823851917,49271,24122
2020-07-17,0.8170506496216953,0.4771313275646107,0.8093472060453221,0.5512368926761202,49969,24733
2020-08-14,0.7985629991479861,0.5317344987441568,0.7686605875063977,0.5716805509105637,51239,25399
2020-09-11,0.7750875157091601,0.5583073218005267,0.7671315855240772,0.5618917079385561,53660,25492
2020-10-12,0.7816229870342717,0.5171432184174171,0.7578645858219387,0.450442473719542,52673,23829
2020-11-09,0.7765132233158097,0.5301413417911867,0.7660415327597893,0.5088854328098495,52848,23905
2020-12-08,0.7815721895176782,0.5486003179453207,0.7623078315207394,0.6021779925762967,52428,23963
2021-01-06,0.7851832951831417,0.5342451002041415,0.7873711712551626,0.58192240806928,51974,23425
2021-02-04,0.7811568555652971,0.5469042421521458,0.7544053045529164,0.5221364208809048,52151,24111
2021-03-04,0.7776384269573747,0.556394409103858,0.7502408552219492,0.534769465387096,52904,24815
2021-04-06,0.7814649314590868,0.5031189707126915,0.7735091147765447,0.48579927067631523,50752,23119
2021-05-06,0.7754061523199774,0.5240293378329699,0.7771494453721484,0.5262441313281186,51560,22629
2021-06-04,0.7676647236955092,0.560053277815552,0.7674213084155166,0.592902965071855,51759,24502
2021-07-02,0.773712451733067,0.547688238334351,0.7789310095681683,0.5770511385178045,52530,25775
2021-08-02,0.7736145899126806,0.5640820971286622,0.7685388420613695,0.5345747161493214,51651,24774
2021-08-31,0.7710131161763738,0.5563470743310918,0.7539849043207537,0.5162684928949705,53728,24371
2021-09-29,0.7688182778023123,0.5408264062094734,0.7743361260832554,0.5330923017553828,54043,24482
2021-10-28,0.7733950614661631,0.5261363581732683,0.76954662252537,0.5380898865771138,54365,25187
2021-11-29,0.7812879424298297,0.47856406265272056,0.7700708725550713,0.42114396154482614,53434,24081
2021-12-27,0.775054699061999,0.49750684925933786,0.7570196728559289,0.43678802462987193,53703,24848
2022-01-24,0.7790517172735055,0.4684678711011135,0.7835322340846387,0.4734292396676296,55192,26215
2022-02-22,0.8005440974970559,0.3824839400329706,0.8288647848142607,0.3704968256593865,54904,25752
2022-03-24,0.7865647629633798,0.43239210461648525,0.7795795427649628,0.41690565532522955,55940,25376
2022-04-25,0.7940236626516111,0.4540613756095324,0.7796041291273016,0.5110909069057853,55036,24268
2022-05-24,0.8049794088130007,0.3745047164442078,0.8171626822206032,0.3647524373011219,54799,25027
2022-06-21,0.7937363077042567,0.39023355943200116,0.7606095037983975,0.2964905551559183,55875,26528
2022-07-19,0.7853054551371825,0.4651636869915149,0.7721916503421162,0.5036923677551285,56851,27369
2022-08-17,0.7869756685123799,0.47011958495641104,0.730083175041829,0.6433457864942166,56523,26174
2022-09-15,0.7825030725802379,0.5122016692221091,0.7708447073407352,0.5567644826320051,58822,26289
2022-10-14,0.7763269078284086,0.5292668838440622,0.7651290174010952,0.4795868049681314,59121,27099
2022-11-15,0.7773645137621537,0.5233346798295935,0.766709340287882,0.4754232242044913,56806,25928
2022-12-13,0.7882303183510807,0.4941166908385258,0.7958829479729298,0.506322558879714,57070,26690
2023-01-10,0.795423486570093,0.4398791287671786,0.8022063720717697,0.4205545494217729,59295,28094
2023-02-08,0.7918292460570369,0.4311119187612083,0.7679168322437584,0.3555768122272565,58835,27503
2023-03-09,0.7997536601933974,0.3910381885299702,0.7869887764789527,0.34468800026255575,60362,27603
2023-04-11,0.7946845910870551,0.3984962421689086,0.7918268689349625,0.46604482393304125,58548,25691
2023-05-11,0.7860926377720037,0.4791643963290035,0.7513995807772411,0.6190889909777754,58036,25732
2023-06-08,0.7729620292535743,0.5425271420865531,0.7603504963390915,0.6161344393883844,58873,27804
2023-07-07,0.758318246800113,0.5881355778394775,0.7665611091825888,0.5999083867307404,59001,29218
