date,portfolio_value,cummax,drawdown
2019-01-01,100000.0,100000.0,0.0
2019-01-02,99905.36585,100000.0,-0.0009463414999999475
2019-01-03,101693.99872142856,101693.99872142856,0.0
2019-01-04,102055.21893999999,102055.21893999999,0.0
2019-01-07,102295.73068285715,102295.73068285715,0.0
2019-01-08,102138.33804,102295.73068285715,-0.0015386042194185379
2019-01-09,101923.12803999998,102295.73068285715,-0.0036424065830501506
2019-01-10,102081.68803999998,102295.73068285715,-0.0020923907716222656
2019-01-11,102177.21804,102295.73068285715,-0.0011585297066263323
2019-01-14,102379.26804,102379.26804,0.0
2019-01-15,102597.92448285714,102597.92448285714,0.0
2019-01-16,103884.26821142857,103884.26821142857,0.0
2019-01-17,104637.40821142857,104637.40821142857,0.0
2019-01-18,104928.65904714286,104928.65904714286,0.0
2019-01-21,106513.81540285714,106513.81540285714,0.0
2019-01-22,106401.96736,106513.81540285714,-0.0010500801462619558
2019-01-23,105343.05988,106513.81540285714,-0.01099158375304754
2019-01-24,105876.78239142857,106513.81540285714,-0.005980754787716314
2019-01-25,105939.96715142854,106513.81540285714,-0.005387547608337817
2019-01-28,104925.10491571428,106513.81540285714,-0.014915534488498361
2019-01-29,104791.99919785715,106513.81540285714,-0.016165191327413564
2019-01-30,105220.22919785713,106513.81540285714,-0.012144773897239558
2019-01-31,109712.90094071429,109712.90094071429,0.0
2019-02-01,110921.7425407143,110921.7425407143,0.0
2019-02-04,109725.8725407143,110921.7425407143,-0.010781204591706173
2019-02-05,109660.9225407143,110921.7425407143,-0.011366752551125958
2019-02-06,111776.92254071428,111776.92254071428,0.0
2019-02-07,114909.23879785716,114909.23879785716,0.0
2019-02-08,115013.95879785717,115013.95879785717,0.0
2019-02-11,115084.16879785716,115084.16879785716,0.0
2019-02-12,114949.84553785715,115084.16879785716,-0.0011671740900864869
2019-02-13,115778.92055928572,115778.92055928572,0.0
2019-02-14,114906.49301785714,115778.92055928572,-0.007535288265033024
2019-02-15,113109.40301785714,115778.92055928572,-0.02305702565314227
2019-02-18,111241.09301785714,115778.92055928572,-0.03919390092348407
2019-02-19,108767.00376714289,115778.92055928572,-0.06056298295294882
2019-02-20,111261.50376714289,115778.92055928572,-0.0390176102033154
2019-02-21,113269.05376714288,115778.92055928572,-0.021678098051170158
2019-02-22,112871.55376714288,115778.92055928572,-0.025111365506764183
2019-02-25,115778.47536714288,115778.92055928572,-3.845191686835392e-06
2019-02-26,114377.87536714287,115778.92055928572,-0.012101038646542106
2019-02-27,114027.12536714287,115778.92055928572,-0.01513051930075493
2019-02-28,113438.37536714289,115778.92055928572,-0.02021564185290825
2019-03-01,115103.64999571431,115778.92055928572,-0.005832413709761841
2019-03-05,117860.23669571432,117860.23669571432,0.0
2019-03-06,118459.43669571432,118459.43669571432,0.0
2019-03-07,116399.4366957143,118459.43669571432,-0.01738991892466546
2019-03-08,115469.03669571433,118459.43669571432,-0.025244084248698617
2019-03-11,117974.87862571431,118459.43669571432,-0.0040904978405789105
2019-03-12,119292.89602214289,119292.89602214289,0.0
2019-03-13,117043.4294521429,119292.89602214289,-0.018856668292992484
2019-03-14,115278.27945214289,119292.89602214289,-0.03365344210651755
2019-03-15,112924.77945214289,119292.89602214289,-0.05338219443358938
2019-03-18,112515.91020214291,119292.89602214289,-0.056809634487723804
2019-03-19,113442.61020214291,119292.89602214289,-0.04904135967085632
2019-03-20,113298.26020214292,119292.89602214289,-0.050251406579041036
2019-03-22,112330.86020214291,119292.89602214289,-0.05836085845973338
2019-03-25,110315.26020214292,119292.89602214289,-0.07525708671146314
2019-03-26,108859.0102021429,119292.89602214289,-0.08746443558603245
2019-03-27,107086.5206235715,119292.89602214289,-0.102322735096528
2019-03-28,106071.82062357149,119292.89602214289,-0.11082869005139528
2019-03-29,105916.6706235715,119292.89602214289,-0.1121292704310618
2019-04-01,108991.12062357149,119292.89602214289,-0.08635698974613881
2019-04-02,111876.5151735715,119292.89602214289,-0.062169509634461106
2019-04-03,113323.80145928578,119292.89602214289,-0.050037301146156565
2019-04-04,114552.40145928579,119292.89602214289,-0.03973828049221961
2019-04-05,115605.20145928579,119292.89602214289,-0.03091294356851393
2019-04-08,115036.60145928578,119292.89602214289,-0.03567936318745302
2019-04-09,117526.80145928578,119292.89602214289,-0.014804691827829286
2019-04-10,116744.00145928579,119292.89602214289,-0.02136669196449026
2019-04-11,115887.40145928579,119292.89602214289,-0.028547337489610247
2019-04-12,116047.65131642864,119292.89602214289,-0.02720400639038778
2019-04-15,117243.30131642864,119292.89602214289,-0.017181196651758768
2019-04-16,116425.20131642863,119292.89602214289,-0.02403910711650392
2019-04-18,114828.90131642863,119292.89602214289,-0.037420457165241894
2019-04-22,114433.58926642864,119292.89602214289,-0.040734250887934476
2019-04-23,113642.43926642864,119292.89602214289,-0.04736624681041712
2019-04-24,113029.03926642862,119292.89602214289,-0.05250821268142891
2019-04-25,113518.18963071436,119292.89602214289,-0.04840779781519122
2019-04-26,113414.98963071436,119292.89602214289,-0.04927289543157265
2019-04-30,112878.73963071436,119292.89602214289,-0.05376813377250844
2019-05-02,111419.08963071436,119292.89602214289,-0.06600398392513673
2019-05-03,113245.7407735715,119292.89602214289,-0.05069166270763459
2019-05-06,109593.55094142865,119292.89602214289,-0.08130697974600154
2019-05-07,101904.3373985715,119292.89602214289,-0.14576357187559397
2019-05-08,99969.83739857152,119292.89602214289,-0.16197996081832622
2019-05-09,103155.63739857152,119292.89602214289,-0.13527426327696834
2019-05-10,103056.83739857152,119292.89602214289,-0.13610247688644983
2019-05-13,98061.53739857151,119292.89602214289,-0.17797672226542693
2019-05-14,101199.83739857152,119292.89602214289,-0.1516692043440121
2019-05-15,98684.33739857152,119292.89602214289,-0.17275595874331073
2019-05-16,100199.95017714293,119292.89602214289,-0.16005098779273463
2019-05-17,101676.85017714293,119292.89602214289,-0.1476705355676008
2019-05-20,113231.57149142865,119292.89602214289,-0.05081043995770829
2019-05-21,112059.76907714293,119292.89602214289,-0.06063334185178437
2019-05-22,116889.8007967858,119292.89602214289,-0.020144495653043992
