date,symbol,trade_id,entry_date,entry_price,shares,total_trade_pnl,RSI_14,VOL_20,NORM_ATR,volume_ratio,volume_percentile,ema_50_200_diff,ema_flag,NORM_BB,BB_Squeeze
2020-07-21,NSE:AARTIDRUGS-EQ,1,2020-07-17,372.21,219,1137.4787485714312,84.48471121177805,0.0304146637929675,0.0358764445570281,1.3574749591604276,0.876984126984127,0.2198293664689755,1,1.005477541661016,1.0
2019-07-30,NSE:ACE-EQ,1,2019-07-24,76.65,594,782.861078571427,9.907834101382504,0.0184005009654933,0.0434255894138477,0.6943482610557101,0.0753968253968253,-0.1134399923769284,-1,0.1002114954360706,0.0
2020-02-05,NSE:AGI-EQ,1,2020-02-01,52.0,892,-2967.9452285714315,27.843137254901976,0.0354584162330833,0.042032967032967,0.2919825664326075,0.5793650793650794,-1.20353977230861,-1,0.2012302461736212,1.0
2021-02-10,NSE:ALLCARGO-EQ,1,2021-02-08,33.44,2436,-2321.2078499999984,51.57480314960627,0.0081215040086901,0.0183484278879015,1.6108418987436848,0.753968253968254,0.1092909801040446,1,0.7078486835009663,0.0
2021-02-12,NSE:ALLCARGO-EQ,2,2021-02-10,33.13,2416,619.7835200000009,44.24242424242429,0.0089675310614418,0.0214307274373679,1.3660268041893484,0.7142857142857143,0.1086052496476085,1,0.5811054305957755,0.0
2025-02-18,NSE:ALLCARGO-EQ,4,2025-02-14,34.25,18865,-45493.19678750003,16.340508806262235,0.0185171588011284,0.0463190823774765,1.8554784529243424,0.7658730158730159,-0.3528987236639245,-1,-0.1318439461289974,0.0
2021-04-19,NSE:ALOKINDS-EQ,1,2021-04-12,20.75,1540,458.2741428571416,59.77011494252875,0.0215675873868209,0.0368330464716006,1.4043249773080893,0.7777777777777778,-0.0662350992509148,-1,0.4744595678663368,1.0
2021-11-22,NSE:ALOKINDS-EQ,3,2021-11-15,22.5,4806,-4120.561414285713,46.03174603174603,0.0294504497322888,0.0247619047619047,0.4263058420142181,0.0357142857142857,0.0041255244316976,1,0.3613012501292428,1.0
2021-11-29,NSE:ALOKINDS-EQ,4,2021-11-26,22.45,4935,-5841.991312500008,44.32989690721648,0.0216317156656007,0.0345211581291759,2.052839903752871,0.6944444444444444,-0.0074274847490438,-1,0.4963381255162662,1.0
2022-10-19,NSE:ALOKINDS-EQ,5,2022-10-17,16.1,17731,-15563.16361249998,10.606060606060652,0.0156959424290859,0.0357142857142856,0.832031546578532,0.1626984126984127,-0.1616987786955797,-1,-0.0819456028839917,0.0
