entry_date,symbol,entry_price,shares,investment_amount,probability,darvas_breakout_up,feature_RSI_14,feature_VOL_20,feature_NORM_ATR,feature_volume_ratio,feature_darvas_high,feature_darvas_low,feature_ema_9_21_diff,feature_ema_50_200_diff,feature_NORM_BB
24-06-2019,NSE:ARVIND-EQ,62.5,1001,62562.5,,0,27.08333333,0.039825641,0.063371429,1.288982707,96.6,84.4,-0.066719183,-1.237394596,0.07455617
05-07-2019,NSE:TEJASNET-EQ,138.4,572,79164.8,,0,17.37089202,0.017256855,0.047404005,1.564610026,206,170,-0.068111709,-0.270061769,0.21274862
09-07-2019,NSE:OPTIEMUS-EQ,61.65,639,39394.35,,0,75.70498915,0.038179591,0.052774881,2.107693869,127.9,105.1,-0.044260909,-0.591264886,0.825799468
11-07-2019,NSE:REFEX-EQ,24.23,3141,76106.43,,0,85,0.042457547,0.047579742,0.410821075,10.25,7.45,0.110716136,0.241165887,1.051144857
15-07-2019,NSE:TEJASNET-EQ,137.45,524,72023.8,,0,36.69871795,0.019721773,0.047471808,2.729934583,206,170,-0.057259882,-0.290957581,0.368261515
15-07-2019,NSE:REFEX-EQ,24.17,1988,48049.96,,0,85.02269289,0.039206315,0.052160293,1.517866375,10.25,7.45,0.123077437,0.261259015,0.892037465
17-07-2019,NSE:AURIONPRO-EQ,53.88,827,44558.76,,0,41.72517553,0.017180408,0.041852264,1.260709358,79.38,58.93,-0.035259342,-0.171909695,0.403376779
22-07-2019,NSE:MAHSCOOTER-EQ,3899.1,10,38991,,0,17.03747073,0.019901785,0.041064421,1.540032771,4786,4130,-0.033601438,0.161264386,0.018287125
24-07-2019,NSE:ACE-EQ,76.65,874,66992.1,,0,9.907834101,0.018400501,0.043425589,0.694348261,115,93.8,-0.069729059,-0.113439992,0.100211495
26-07-2019,NSE:RAIN-EQ,96.85,602,58303.7,,0,49.64705882,0.023605196,0.041817243,2.790783802,147.8,96.5,-0.024610457,-0.297357571,0.642376381
30-07-2019,NSE:HSCL-EQ,82.1,756,62067.6,,0,17.84232365,0.02036645,0.047590047,0.831655373,116.5,99,-0.069703586,-0.177978994,0.213229824
