date,action,symbol,shares,entry_price,exit_price,pnl,reason,holding_days,allocation_multiplier,adjusted_capital
2019-01-02,BUY,NSE:RAJESHEXPO-EQ,87,572.45,,,ENTRY,,1.0,50000.0
2019-01-02,BUY,NSE:CAPLIPOINT-EQ,117,382.75,,,ENTRY,,1.0,45132.342165
2019-01-07,SELL,NSE:RAJESHEXPO-EQ,26,572.45,580.8214285714287,202.55578571428705,T1_EXIT,5.0,1.0,
2019-01-07,SELL,NSE:RAJESHEXPO-EQ,18,572.45,589.1928571428572,290.76595714285696,T2_EXIT,5.0,1.0,
2019-01-08,SELL,NSE:RAJESHEXPO-EQ,43,572.45,580.8214285714287,334.9961071428594,STOPLOSS,6.0,1.0,
2019-01-08,BUY,NSE:RAJESHEXPO-EQ,88,571.25,,,ENTRY,,1.0,50356.784655
2019-01-11,SELL,NSE:CAPLIPOINT-EQ,35,382.75,390.0392857142857,241.47362499999988,T1_EXIT,9.0,1.0,
2019-01-11,SELL,NSE:CAPLIPOINT-EQ,25,382.75,397.3285714285714,354.53107142857124,T2_EXIT,9.0,1.0,
2019-01-11,T3_TRAIL,NSE:CAPLIPOINT-EQ,0,382.75,,,T3_MILESTONE_TRAIL,9.0,1.0,
2019-01-11,TRAIL_SL,NSE:CAPLIPOINT-EQ,0,382.75,,,TRAIL_T4,9.0,1.0,
2019-01-14,SELL,NSE:CAPLIPOINT-EQ,57,382.75,404.61785714285713,1223.4046392857138,STOPLOSS,12.0,1.0,
2019-01-14,BUY,NSE:GODREJAGRO-EQ,95,494.6,,,ENTRY,,1.0,47009.58505714287
2019-01-15,SELL,NSE:RAJESHEXPO-EQ,26,571.25,581.2357142857143,244.51644285714235,T1_EXIT,7.0,1.0,
2019-01-16,SELL,NSE:RAJESHEXPO-EQ,19,571.25,591.2214285714285,368.22393571428495,T2_EXIT,8.0,1.0,
2019-01-16,SELL,NSE:GODREJAGRO-EQ,28,494.6,500.4714285714286,150.38679999999985,T1_EXIT,2.0,1.0,
2019-01-16,SELL,NSE:GODREJAGRO-EQ,20,494.6,506.34285714285716,224.73028571428551,T2_EXIT,2.0,1.0,
2019-01-16,T3_TRAIL,NSE:GODREJAGRO-EQ,0,494.6,,,T3_MILESTONE_TRAIL,2.0,1.0,
2019-01-16,TRAIL_SL,NSE:GODREJAGRO-EQ,0,494.6,,,TRAIL_T4,2.0,1.0,
2019-01-17,T3_TRAIL,NSE:RAJESHEXPO-EQ,0,571.25,,,T3_MILESTONE_TRAIL,9.0,1.0,
2019-01-17,TRAIL_SL,NSE:RAJESHEXPO-EQ,0,571.25,,,TRAIL_T4,9.0,1.0,
2019-01-17,SELL,NSE:GODREJAGRO-EQ,47,494.6,512.2142857142858,803.7973571428591,STOPLOSS,3.0,1.0,
2019-01-17,BUY,NSE:FINCABLES-EQ,160,447.95,,,ENTRY,,1.0,71715.41109642858
2019-01-18,SELL,NSE:RAJESHEXPO-EQ,43,571.25,601.2071428571428,1262.3052357142833,STOPLOSS,10.0,1.0,
2019-01-18,BUY,NSE:CIPLA-EQ,59,509.4,,,ENTRY,,1.0,30389.55600857143
2019-01-21,SELL,NSE:FINCABLES-EQ,160,447.95,438.2964285714286,-1614.6988571428542,STOPLOSS,4.0,1.0,
2019-01-21,BUY,NSE:FINCABLES-EQ,151,439.05,,,ENTRY,,1.0,66364.93789714287
2019-01-23,SELL,NSE:FINCABLES-EQ,151,439.05,429.34285714285716,-1530.6093428571426,STOPLOSS,2.0,1.0,
2019-01-23,BUY,NSE:FINCABLES-EQ,152,424.7,,,ENTRY,,1.0,64927.72259357144
2019-01-24,SELL,NSE:CIPLA-EQ,59,509.4,498.1553571428571,-692.8250946428583,STOPLOSS,6.0,1.0,
2019-01-24,BUY,NSE:CIPLA-EQ,66,500.7,,,ENTRY,,1.0,33196.26104839286
2019-01-25,SELL,NSE:FINCABLES-EQ,46,424.7,431.7107142857143,302.634164285715,T1_EXIT,2.0,1.0,
2019-01-25,SELL,NSE:CIPLA-EQ,20,500.7,508.3928571428571,143.6892857142853,T1_EXIT,1.0,1.0,
2019-01-28,SELL,NSE:FINCABLES-EQ,106,424.7,424.7,-45.0182,STOPLOSS,5.0,1.0,
2019-01-28,SELL,NSE:CIPLA-EQ,46,500.7,500.7,-23.0322,STOPLOSS,4.0,1.0,
2019-01-28,BUY,NSE:FINCABLES-EQ,120,422.9,,,ENTRY,,1.0,50892.18067410715
2019-01-28,BUY,NSE:HAL-EQ,125,366.4,,,ENTRY,,1.0,45887.052013392866
2019-01-30,SELL,NSE:HAL-EQ,125,366.4,355.7778571428571,-1372.2400892857167,STOPLOSS,2.0,1.0,
2019-01-30,BUY,NSE:MARICO-EQ,121,365.9,,,ENTRY,,1.0,44610.81593303572
2019-02-01,SELL,NSE:MARICO-EQ,36,365.9,373.4285714285714,257.5851428571422,T1_EXIT,2.0,1.0,
2019-02-04,SELL,NSE:FINCABLES-EQ,120,422.9,409.7857142857143,-1622.8885714285698,STOPLOSS,7.0,1.0,
2019-02-04,SELL,NSE:MARICO-EQ,85,365.9,365.9,-31.101499999999998,STOPLOSS,5.0,1.0,
2019-02-05,BUY,NSE:FINCABLES-EQ,124,397.55,,,ENTRY,,1.0,49437.44721517857
2019-02-06,BUY,NSE:TATAINVEST-EQ,54,824.55,,,ENTRY,,1.0,44576.45840732142
2019-02-07,SELL,NSE:TATAINVEST-EQ,16,824.55,841.8214285714286,262.87371428571475,T1_EXIT,1.0,1.0,
2019-02-12,SELL,NSE:FINCABLES-EQ,124,397.55,380.16607142857146,-2202.747735714284,STOPLOSS,7.0,1.0,
2019-02-12,BUY,NSE:RTNPOWER-EQ,20686,2.85,,,ENTRY,,1.0,58957.468658035716
2019-02-15,SELL,NSE:TATAINVEST-EQ,38,824.55,824.55,-31.3329,STOPLOSS,9.0,1.0,
2019-02-15,BUY,NSE:CHENNPETRO-EQ,166,204.65,,,ENTRY,,1.0,34016.22945803571
2019-02-21,SELL,NSE:CHENNPETRO-EQ,50,204.65,215.07857142857142,510.6746428571423,T1_EXIT,6.0,1.0,
2019-02-26,SELL,NSE:CHENNPETRO-EQ,35,204.65,225.50714285714284,722.1072499999991,T2_EXIT,11.0,1.0,
2019-03-01,T3_TRAIL,NSE:CHENNPETRO-EQ,0,204.65,,,T3_MILESTONE_TRAIL,14.0,1.0,
2019-03-05,SELL,NSE:RTNPOWER-EQ,6206,2.85,3.0785714285714287,1399.408671428572,T1_EXIT,21.0,1.0,
2019-03-05,SELL,NSE:RTNPOWER-EQ,14480,2.85,3.1,3575.112,TIMEEXIT,21.0,1.0,
2019-03-05,TRAIL_SL,NSE:CHENNPETRO-EQ,0,204.65,,,TRAIL_T4,18.0,1.0,
2019-03-05,BUY,NSE:RPOWER-EQ,6095,12.75,,,ENTRY,,1.0,77712.83205589285
2019-03-06,TRAIL_SL,NSE:CHENNPETRO-EQ,0,204.65,,,TRAIL_T5,19.0,1.0,
2019-03-12,TRAIL_SL,NSE:CHENNPETRO-EQ,0,204.65,,,TRAIL_T6,25.0,1.0,
2019-03-14,SELL,NSE:RPOWER-EQ,6095,12.75,11.298214285714286,-8917.496544642856,STOPLOSS,9.0,1.0,
2019-03-14,BUY,NSE:RPOWER-EQ,6476,10.75,,,ENTRY,,1.0,69617.14504071428
2019-03-19,SELL,NSE:RPOWER-EQ,1943,10.75,11.560714285714287,1552.7553892857163,T1_EXIT,5.0,1.0,
2019-03-22,SELL,NSE:RPOWER-EQ,4533,10.75,10.75,-48.72975,STOPLOSS,8.0,1.0,
2019-03-22,BUY,NSE:RPOWER-EQ,6658,10.65,,,ENTRY,,1.0,70908.11281607143
2019-03-25,SELL,NSE:CHENNPETRO-EQ,81,204.65,256.7928571428571,4202.771207142852,STOPLOSS,38.0,1.0,
2019-03-25,BUY,NSE:HEG-EQ,63,402.09,,,ENTRY,,1.0,25728.8449725
2019-03-28,SELL,NSE:HEG-EQ,19,402.09,418.20071428571424,298.1577578571425,T1_EXIT,3.0,1.0,
2019-03-29,SELL,NSE:RPOWER-EQ,1997,10.65,11.439285714285715,1553.3593178571434,T1_EXIT,7.0,1.0,
2019-03-29,SELL,NSE:HEG-EQ,13,402.09,434.31142857142856,413.23252285714307,T2_EXIT,4.0,1.0,
