date,symbol,trade_id,entry_date,entry_price,shares,total_trade_pnl,RSI_14,VOL_20,NORM_ATR,volume_ratio,volume_percentile,ema_50_200_diff,ema_flag
2021-02-10,NSE:ALLCARGO-EQ,1,2021-02-08,33.44,5452,-5195.084235714283,51.57480314960627,0.0081215040086901,0.0183484278879015,1.6108418987436848,0.753968253968254,0.1092909801040446,1
2021-02-12,NSE:ALLCARGO-EQ,2,2021-02-10,33.13,3699,949.1657300000012,44.24242424242429,0.0089675310614418,0.0214307274373679,1.3660268041893484,0.7142857142857143,0.1086052496476085,1
2025-02-07,NSE:ALLCARGO-EQ,4,2025-01-27,41.48,31033,-81205.89091357138,27.547434996486288,0.0252682804898946,0.0414313266290122,1.1345313347773536,0.5277777777777778,-0.2475917847148818,-1
2021-04-19,NSE:ALOKINDS-EQ,1,2021-04-12,20.75,5006,1490.1129857142819,59.77011494252875,0.0215675873868209,0.0368330464716006,1.4043249773080893,0.7777777777777778,-0.0662350992509148,-1
2022-10-17,NSE:ALOKINDS-EQ,3,2022-10-13,17.0,13785,-12038.243571428578,11.475409836065596,0.0133627685624601,0.0336134453781512,1.6675347532369655,0.365079365079365,-0.146900226000153,-1
2022-12-15,NSE:ALOKINDS-EQ,4,2022-12-13,16.35,12102,2345.244299999995,73.33333333333334,0.0190175882203302,0.0310179117518566,1.1834490066320156,0.4325396825396825,-0.1991744332539263,-1
2023-02-02,NSE:ALOKINDS-EQ,6,2023-01-27,13.1,4096,856.8472142857133,17.14285714285714,0.0189157527577101,0.0406215921483097,1.3473361096577885,0.5079365079365079,-0.2364208873965589,-1
2023-02-17,NSE:ALOKINDS-EQ,7,2023-02-02,12.95,5507,-5346.85447321429,22.89156626506025,0.0207786182857068,0.049365692222835,0.7805951821710622,0.2539682539682539,-0.2490905398622334,-1
2023-10-23,NSE:ALOKINDS-EQ,8,2023-10-20,19.4,16185,-20582.753517857167,53.23741007194244,0.0267729776932492,0.0430780559646539,1.162821573433893,0.8174603174603174,0.0873471198257678,1
2020-02-25,NSE:APARINDS-EQ,1,2020-02-20,390.95,233,-3586.337248214284,57.28715728715729,0.0095667706760583,0.0256061242760309,1.101370800732991,0.8849206349206349,-0.2141429391478171,-1
2020-02-28,NSE:APARINDS-EQ,2,2020-02-25,378.7,232,-3854.9161428571438,41.25950054288815,0.0097267657951894,0.0286129239126334,1.0337148333991093,0.8611111111111112,-0.221084171895551,-1
2021-06-17,NSE:ARE&M-EQ,1,2021-06-14,769.3,135,539.58635,75.8321273516642,0.0170581448551358,0.0154361107500325,0.8175272115634568,0.9761904761904762,-0.0321551780876074,-1
2021-07-19,NSE:ARE&M-EQ,3,2021-07-13,737.95,195,-2663.1463392857295,36.22857142857148,0.0074458216771614,0.0116829440631866,0.4299960342616635,0.0198412698412698,-0.0495631956034434,-1
2021-07-29,NSE:ARE&M-EQ,4,2021-07-27,718.3,41,-608.7275857142844,24.2544731610338,0.005636253219819,0.0131262305841172,0.9122249252442448,0.2698412698412698,-0.058946376842555,-1
2019-12-09,NSE:ARVIND-EQ,1,2019-12-03,40.25,1734,-5118.111557142864,11.985018726591775,0.0209326017356325,0.0482697426796805,1.4372373135305772,0.3452380952380952,-0.9316990926372029,-1
2020-10-12,NSE:ARVINDFASN-EQ,1,2020-10-06,134.75,854,-7711.122849999997,45.19774011299434,0.0271241382299427,0.0440498277232971,3.3730241982233657,0.9563492063492064,-0.633478714679628,-1
2020-10-26,NSE:ARVINDFASN-EQ,2,2020-10-12,127.65,608,1525.2093750000015,51.92604006163329,0.0252043072472219,0.0491578535056795,0.6210165411419999,0.7142857142857143,-0.6485295131377022,-1
2020-11-14,NSE:ARVINDFASN-EQ,3,2020-11-12,126.85,626,915.4519285714321,42.27129337539425,0.013161484665566,0.0302944985641083,2.036888639939108,0.8849206349206349,-0.5530673736931755,-1
2023-03-21,NSE:ATGL-EQ,1,2023-03-15,919.85,313,-24200.093005357157,57.89330182677451,0.0492355926532476,0.0554244092592736,3.1727955985811254,0.996031746031746,-0.9021603960366577,-1
2023-02-27,NSE:ATUL-EQ,1,2023-02-17,7290.75,3,-851.4525535714263,63.271356783919614,0.0173088624875763,0.0253109370484125,0.8152215948642587,0.623015873015873,-0.0942691269564493,-1
2025-07-25,NSE:BAJAJHFL-EQ,1,2025-07-18,121.89,3726,-9973.877895000018,50.17825311942963,0.0078821293682633,0.0139880219870374,0.8672184704677842,0.0714285714285714,-0.052510405440474,-1
2022-09-22,NSE:BAJAJHIND-EQ,1,2022-09-16,11.15,2055,435.09217857142806,69.35483870967744,0.0294840212053196,0.0477258167841127,0.7825946271403202,0.6309523809523809,-0.162319446678134,-1
2022-09-26,NSE:BAJAJHIND-EQ,2,2022-09-22,11.15,2968,-2431.5923000000016,57.57575757575757,0.0320375827535681,0.0483664317745035,1.1582073805789053,0.7698412698412699,-0.1574587962054614,-1
2022-10-28,NSE:BAJAJHIND-EQ,4,2022-10-12,10.95,4737,-3423.6075375000014,44.44444444444444,0.0254733297481141,0.0433789954337899,0.6330641075003138,0.2301587301587301,-0.157699295620515,-1
2020-05-19,NSE:BANCOINDIA-EQ,1,2020-05-14,32.55,1214,-2466.8202514285726,40.19607843137252,0.0276667406881287,0.040991880623217,0.2381771782599875,0.3888888888888889,-0.3658690343027781,-1
2019-08-01,NSE:BASF-EQ,1,2019-07-30,1064.05,58,-3271.5982321428573,25.65184049079751,0.0180620182089933,0.0347090295166043,0.5611311339062933,0.1706349206349206,-0.1753716501724622,-1
