date,symbol,trade_id,entry_date,entry_price,shares,total_trade_pnl,RSI_14,VOL_20,NORM_ATR,volume_ratio,volume_percentile,ema_50_200_diff,ema_flag
2022-08-17,NSE:ABSLAMC-EQ,1,2022-08-04,426.75,265,10081.002482142861,63.43042071197411,0.0119062569683606,0.0204117499372332,1.826609686381257,0.248780487804878,-0.1786503128500933,-1
2020-02-27,NSE:ALKYLAMINE-EQ,1,2020-02-13,619.04,61,4845.463317142858,83.17307692307682,0.0194959553567977,0.0377220027323413,0.4818385837625699,0.8134920634920635,0.1702405388855789,1
2021-02-12,NSE:ALLCARGO-EQ,2,2021-02-10,33.13,3699,949.1657300000012,44.24242424242429,0.0089675310614418,0.0214307274373679,1.3660268041893484,0.7142857142857143,0.1086052496476085,1
2025-01-21,NSE:ALLCARGO-EQ,3,2025-01-13,42.21,1516,5591.993940000004,20.13574660633485,0.0204010992146228,0.0362473347547974,1.252700129682379,0.492063492063492,-0.2123409155364019,-1
2025-07-17,NSE:ALLCARGO-EQ,5,2025-07-09,34.08,16737,73084.72346571427,50.43177892918823,0.0192342677934937,0.0291540912139503,0.4567237864936063,0.2261904761904762,-0.2354667239486359,-1
2021-04-19,NSE:ALOKINDS-EQ,1,2021-04-12,20.75,5006,1490.1129857142819,59.77011494252875,0.0215675873868209,0.0368330464716006,1.4043249773080893,0.7777777777777778,-0.0662350992509148,-1
2021-04-27,NSE:ALOKINDS-EQ,2,2021-04-19,20.35,2477,8152.577753571427,50.54945054945056,0.024204921378279,0.0366795366795366,0.8400871494511118,0.5238095238095238,-0.0654523252623616,-1
2022-12-15,NSE:ALOKINDS-EQ,4,2022-12-13,16.35,12102,2345.244299999995,73.33333333333334,0.0190175882203302,0.0310179117518566,1.1834490066320156,0.4325396825396825,-0.1991744332539263,-1
2022-12-21,NSE:ALOKINDS-EQ,5,2022-12-15,16.05,7917,10203.42122142855,64.28571428571428,0.0203576958717565,0.0333778371161548,1.088423074576961,0.4325396825396825,-0.1995347393811389,-1
2023-02-02,NSE:ALOKINDS-EQ,6,2023-01-27,13.1,4096,856.8472142857133,17.14285714285714,0.0189157527577101,0.0406215921483097,1.3473361096577885,0.5079365079365079,-0.2364208873965589,-1
2025-05-07,NSE:APARINDS-EQ,3,2025-04-16,4995.5,137,122850.5862999999,14.667567899717326,0.0317898561719091,0.0523049315812802,0.4018509983258839,0.3134920634920635,-0.2977163039658786,-1
2021-06-17,NSE:ARE&M-EQ,1,2021-06-14,769.3,135,539.58635,75.8321273516642,0.0170581448551358,0.0154361107500325,0.8175272115634568,0.9761904761904762,-0.0321551780876074,-1
2021-08-05,NSE:ARE&M-EQ,5,2021-07-29,694.85,33,1155.3490857142874,17.84660766961653,0.0077428497246542,0.0151882729057658,2.640558635946703,0.9126984126984128,-0.0637452440216179,-1
2019-12-17,NSE:ARVIND-EQ,2,2019-12-09,37.15,825,3932.7629785714307,12.31343283582089,0.0187081812794073,0.0528744472216881,0.8965601761736234,0.2142857142857142,-1.0000622652333468,-1
2020-10-26,NSE:ARVINDFASN-EQ,2,2020-10-12,127.65,608,1525.2093750000015,51.92604006163329,0.0252043072472219,0.0491578535056795,0.6210165411419999,0.7142857142857143,-0.6485295131377022,-1
2020-11-14,NSE:ARVINDFASN-EQ,3,2020-11-12,126.85,626,915.4519285714321,42.27129337539425,0.013161484665566,0.0302944985641083,2.036888639939108,0.8849206349206349,-0.5530673736931755,-1
2020-11-19,NSE:ARVINDFASN-EQ,4,2020-11-14,128.55,407,5526.625253571421,59.92907801418446,0.0114524927890409,0.0310885147524587,0.5012848332215272,0.4603174603174603,-0.5358549155872075,-1
2021-07-19,NSE:ARVINDFASN-EQ,5,2021-07-06,139.7,639,25642.52652857143,52.51256281407035,0.0128241419021564,0.0305757234891092,1.203376228706357,0.7698412698412699,-0.1119672285322555,-1
2022-09-22,NSE:BAJAJHIND-EQ,1,2022-09-16,11.15,2055,435.09217857142806,69.35483870967744,0.0294840212053196,0.0477258167841127,0.7825946271403202,0.6309523809523809,-0.162319446678134,-1
2022-10-12,NSE:BAJAJHIND-EQ,3,2022-10-03,10.25,2665,3067.0992749999978,33.898305084745786,0.0234523800881577,0.0463414634146341,0.3740915138211035,0.115079365079365,-0.1755989299277396,-1
2022-11-10,NSE:BAJAJHIND-EQ,5,2022-11-01,10.5,1293,1428.4683749999967,34.37499999999997,0.0174414261332662,0.0309523809523809,1.426047588598612,0.365079365079365,-0.1612526803342511,-1
2022-11-17,NSE:BAJAJHIND-EQ,6,2022-11-14,10.6,1352,1149.4531892857126,55.8139534883721,0.0177665672690125,0.0333557951482479,1.393688478115502,0.2698412698412698,-0.1484611215340331,-1
2023-05-05,NSE:BAJAJHIND-EQ,7,2023-04-17,13.95,7263,12463.850121428575,67.05882352941177,0.0298348968901192,0.0506912442396313,1.2615341564314753,0.6746031746031746,0.0014986920596328,1
2021-06-23,NSE:BANDHANBNK-EQ,1,2021-06-17,318.9,68,1909.5719785714248,65.33864541832673,0.0140204045370304,0.0260941629709268,1.0148277096036122,0.1587301587301587,-0.05603151865909,-1
2024-06-04,NSE:BANKINDIA-EQ,1,2024-05-16,121.7,3800,60794.75901428585,18.342541436464103,0.0316205558300325,0.0541143326681535,1.254872696888362,0.7222222222222222,0.1497052036841908,1
2019-08-05,NSE:BASF-EQ,2,2019-08-01,1031.15,33,503.6332999999987,24.62897526501763,0.0195145047679728,0.0382825001212238,0.681539854107875,0.2619047619047619,-0.1887284602679926,-1
