date,train_auc,train_logloss,val_auc,val_logloss,train_rows,val_rows
2019-01-02,0.9995473996050033,0.09806883080356298,0.9995473996050033,0.09806883080356298,545,545
2019-01-29,0.8700220949833826,0.25714686218300076,0.8700220949833826,0.25714686218300076,10928,10928
2019-02-26,0.7685585361407232,0.45164470826689174,0.7685585361407232,0.45164470826689174,21887,21887
2019-03-28,0.732133769638482,0.5145676383562837,0.7070384680354296,0.5880544519864869,32837,22457
2019-04-30,0.7263132484607163,0.4761684021762002,0.7053182826124166,0.44706760949184765,43838,20307
2019-05-29,0.7047113414955685,0.49665514617021983,0.7118233607146386,0.44766534371710737,54862,20926
2019-06-27,0.6929591647299479,0.47414729775063685,0.6781320897237092,0.447328467210418,65906,22068
2019-07-25,0.6796285548497767,0.4510899532982888,0.5943988581563282,0.3090493396161895,76994,23236
2019-08-26,0.6662118055429879,0.4493381039478757,0.6055988192019732,0.3487131081874344,88139,22233
2019-09-25,0.6612064074576327,0.4798612842906923,0.5839450536987831,0.5658834968949379,96573,21194
2019-10-27,0.6546935914027844,0.5129914278103652,0.669584550820554,0.6330670133116774,94611,21215
2019-11-26,0.6576018775168073,0.47364372866728116,0.6799468406118724,0.563797539164876,95391,21246
2019-12-24,0.6518235549671322,0.48596859761050876,0.6701180168279203,0.5320810882950942,96268,23043
2020-01-22,0.6448687766446226,0.5272734802829143,0.6615926094641867,0.6213054301487085,98259,23202
2020-02-18,0.6412924060336509,0.5086853204351567,0.683509476485535,0.5664707811568952,99173,23871
2020-03-19,0.6657844537156073,0.489950717885876,0.6886311818347538,0.30836705578400564,98997,23954
2020-04-22,0.6708834510498258,0.513994747468283,0.7187668731938828,0.3634421626093172,97162,21205
2020-05-21,0.6730136401199388,0.5148823799542083,0.6717572522755472,0.5387007873614124,98580,21800
2020-06-19,0.6854529969574679,0.5349694083135835,0.6773211650729065,0.6238546809592409,99476,24098
2020-07-17,0.6798392961182278,0.529027099065782,0.6713139824173615,0.6699714903942675,100917,24718
2020-08-14,0.680931916062274,0.5586740878137825,0.6146875645581802,0.6615993491399357,101873,25385
2020-09-11,0.6851694240115529,0.5508050087813502,0.6379685620016722,0.632583513915069,102733,25498
2020-10-12,0.6884777772219841,0.5280382539643966,0.6115477366059563,0.49283393958779,101912,23844
2020-11-09,0.6807310986871637,0.5576051181300861,0.6248184415623862,0.5671040295848953,102217,23946
2020-12-08,0.6693290471098099,0.6044000668180998,0.6534042203522962,0.6719983952117843,103064,23998
2021-01-06,0.6539368111450118,0.6123093919402388,0.6682744492297936,0.6549949197755432,105028,23445
2021-02-04,0.656078855938268,0.6108164874638703,0.6000412478996602,0.5779866854324952,105378,24126
2021-03-04,0.6446848467851787,0.6054326465235566,0.6290948382359821,0.5799408382491792,106299,24830
2021-04-06,0.6486801190387077,0.5941240166969328,0.6257852519334437,0.5425504943205571,104966,23144
2021-05-06,0.6423030081013174,0.5901713519135446,0.6102991017527574,0.5977017123948496,104170,22659
2021-06-04,0.6433106890128126,0.6119468008162948,0.6491816920890523,0.6739273003439261,103951,24523
2021-07-02,0.6476828710792201,0.6187268947546951,0.6548814389630152,0.6454924399336448,104871,25776
2021-08-02,0.6402339722276458,0.6061265951508727,0.6185680042286179,0.5890525725534651,103587,24782
2021-08-31,0.6303426368829343,0.5961635089278693,0.6101945962745715,0.5635344484009058,105271,24400
2021-09-29,0.6305946542935741,0.6017301794292189,0.6199886556237618,0.5933441914308332,105802,24506
2021-10-28,0.6331893357797607,0.5961337524608916,0.6335394685302765,0.5906642935522952,106308,25216
2021-11-29,0.632850096066437,0.5854499406781201,0.6176325222311118,0.48868150189103016,105677,24117
2021-12-27,0.6337122320679596,0.5894368660508769,0.5913959920055949,0.49939334077307146,107431,24882
2022-01-24,0.6344962666126222,0.5699799948013229,0.6289589028429363,0.538533789074672,109194,26245
2022-02-22,0.643247732648106,0.5230074837095615,0.6813477628872029,0.44019420149932814,110457,25786
2022-03-24,0.6373663766663002,0.5263731026815283,0.6262754591033766,0.4735891922984914,110009,25416
2022-04-25,0.6448522036726139,0.5266280912880174,0.6644510931281962,0.5812571923435089,109402,24306
2022-05-24,0.6550715831081682,0.49385489964331236,0.6874960087954105,0.42350792417232813,110682,25066
2022-06-21,0.6511274001421387,0.45787335352773106,0.6222790281436705,0.3334351483493216,112033,26569
2022-07-19,0.644020827866531,0.4990670820826012,0.615687680862191,0.5783828022504043,113408,27411
2022-08-17,0.6403156979767215,0.5329363211061531,0.5981061694573861,0.7336343977694756,114081,26211
2022-09-15,0.6451065767869846,0.5324179954452621,0.6146353519706567,0.6355052316807367,114175,26323
2022-10-14,0.6410377929426747,0.5252740317936481,0.592336125589143,0.5229792299576449,114927,27137
2022-11-15,0.6357843665619257,0.5534009746911754,0.6357463514176661,0.52137899011938,114346,25967
2022-12-13,0.6431337136762124,0.5422878666587461,0.6454277454602703,0.5601915636108105,116217,26730
2023-01-10,0.6405880753401542,0.5294008269206635,0.6332785188789449,0.4809037190001919,118116,28136
2023-02-08,0.6370074188279572,0.53611205258665,0.5626170894587169,0.4165350446447588,118664,27544
2023-03-09,0.634411160451085,0.5374908973608464,0.5678262881826597,0.41904014608602463,118506,27644
2023-04-11,0.6290186118635412,0.5179934176955876,0.6030460993246725,0.5231724227223652,117006,25729
2023-05-11,0.6292991549528779,0.5263954565447099,0.6102696821939879,0.7055521841112637,117432,25770
2023-06-08,0.6322248748414476,0.5498084953376634,0.5681834786753066,0.7213736253056111,118475,27844
